Journal,ISSN,eISSN,Category,IF(2024),IF Quartile(2024),IF Rank(2024)
MEDICAL JOURNAL OF AUSTRALIA,0025-729X,1326-5377,"MEDICINE, GENERAL & INTERNAL(SCIE)",8.5,Q1,18/332
International Journal of Biological Macromolecules,0141-8130,1879-0003,"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CHEMISTRY, APPLIED(SCIE);POLYMER SCIENCE(SCIE)",8.5,Q1,6/94
Diabetes & Metabolism Journal,2233-6079,2233-6087,ENDOCRINOLOGY & METABOLISM(SCIE),8.5,Q1,13/191
International Journal of Artificial Intelligence in Education,1560-4292,1560-4306,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",8.5,Q1,15/175
TRANSACTIONS OF TIANJIN UNIVERSITY,1006-4982,1995-8196,"ENERGY & FUELS(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",8.5,Q1,79/460
VIEW,2688-3988,2688-268X,"MATERIALS SCIENCE, BIOMATERIALS(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)",8.5,Q1,10/55
Perspectives on Psychological Science,1745-6916,1745-6924,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",8.4,Q1,8/221
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,0002-9378,1097-6868,OBSTETRICS & GYNECOLOGY(SCIE),8.4,Q1,3/140
Farming System,N/A,2949-9119,"AGRICULTURE, MULTIDISCIPLINARY(ESCI)",8.4,Q1,3/94
Circulation-Heart Failure,1941-3289,1941-3297,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),8.4,Q1,18/230
Review of Finance,1572-3097,1573-692X,"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)",8.4,Q1,6/241
ENGINEERING GEOLOGY,0013-7952,1872-6917,"ENGINEERING, GEOLOGICAL(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",8.4,Q1,2/65
npj Climate and Atmospheric Science,2397-3722,2397-3722,METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE),8.4,Q1,6/111
Brain Stimulation,1935-861X,1876-4754,CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE),8.4,Q1,13/285
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,1524-9050,1558-0016,"ENGINEERING, CIVIL(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)",8.4,Q1,5/183
SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,1359-8546,1758-6852,BUSINESS(SSCI);MANAGEMENT(SSCI),8.4,Q1,26/420
Journal of Environmental Management,0301-4797,1095-8630,ENVIRONMENTAL SCIENCES(SCIE),8.4,Q1,31/374
Annual Review of Resource Economics,1941-1340,1941-1359,AGRICULTURAL ECONOMICS & POLICY(SCIE);ECONOMICS(SSCI);ENVIRONMENTAL STUDIES(SSCI),8.4,Q1,1/43
ACTA PHARMACOLOGICA SINICA,1671-4083,1745-7254,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)",8.4,Q1,15/352
Cold Spring Harbor Perspectives in Biology,1943-0264,1943-0264,CELL BIOLOGY(SCIE),8.4,Q1,33/204
Journal of Physics-Photonics,2515-7647,2515-7647,"OPTICS(ESCI);PHYSICS, APPLIED(ESCI)",8.4,Q1,14/125
Journal of CO2 Utilization,2212-9820,2212-9839,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);ENGINEERING, CHEMICAL(SCIE)",8.4,Q1,18/175
Annual Review of Nuclear and Particle Science,0163-8998,1545-4134,"PHYSICS, NUCLEAR(SCIE);PHYSICS, PARTICLES & FIELDS(SCIE)",8.4,Q1,45710
Cancer Biology & Medicine,2095-3941,2095-3941,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);ONCOLOGY(SCIE)",8.4,Q1,20/195
Integrated Environmental Assessment and Management,1551-3777,1551-3793,ENVIRONMENTAL SCIENCES(SCIE);TOXICOLOGY(SCIE),8.4,Q1,4/106
International Journal of Hospitality Management,0278-4319,1873-4693,"HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI)",8.3,Q1,6/139
TELEMATICS AND INFORMATICS,0736-5853,N/A,INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI),8.3,Q1,6/166
PHYTOMEDICINE,0944-7113,1618-095X,"CHEMISTRY, MEDICINAL(SCIE);INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE);PHARMACOLOGY & PHARMACY(SCIE);PLANT SCIENCES(SCIE)",8.3,Q1,1/45
BMC Medicine,1741-7015,1741-7015,"MEDICINE, GENERAL & INTERNAL(SCIE)",8.3,Q1,19/332
EMBO Molecular Medicine,1757-4676,1757-4684,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",8.3,Q1,21/195
Underground Space,2096-2754,2467-9674,"ENGINEERING, CIVIL(SCIE)",8.3,Q1,6/183
IEEE TRANSACTIONS ON COMMUNICATIONS,0090-6778,1558-0857,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)",8.3,Q1,27/366
INFORMATION SYSTEMS FRONTIERS,1387-3326,1572-9419,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",8.3,Q1,13/258
npj Quantum Information,N/A,2056-6387,"PHYSICS, APPLIED(SCIE);PHYSICS, ATOMIC, MOLECULAR & CHEMICAL(SCIE);PHYSICS, CONDENSED MATTER(SCIE);QUANTUM SCIENCE & TECHNOLOGY(SCIE)",8.3,Q1,1/39
IEEE Transactions on Transportation Electrification,2332-7782,2332-7782,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)",8.3,Q1,27/366
Annual Review of Virology,2327-056X,2327-0578,VIROLOGY(SCIE),8.3,Q1,2/42
EMBO JOURNAL,0261-4189,1460-2075,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE),8.3,Q1,30/319
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,0198-9715,1873-7587,ENVIRONMENTAL STUDIES(SSCI);GEOGRAPHY(SSCI);REGIONAL & URBAN PLANNING(SSCI),8.3,Q1,5/173
ESMO Open,N/A,2059-7029,ONCOLOGY(SCIE),8.3,Q1,36/326
AUTOIMMUNITY REVIEWS,1568-9972,1873-0183,IMMUNOLOGY(SCIE),8.3,Q1,16/183
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,0304-419X,1879-2561,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOPHYSICS(SCIE);ONCOLOGY(SCIE),8.3,Q1,5/79
NPG Asia Materials,1884-4049,1884-4057,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",8.3,Q1,81/460
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,0360-3199,1879-3487,"CHEMISTRY, PHYSICAL(SCIE);ELECTROCHEMISTRY(SCIE);ENERGY & FUELS(SCIE)",8.3,Q1,6/44
Small Science,2688-4046,2688-4046,"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)",8.3,Q1,81/460
IMMUNOLOGICAL REVIEWS,0105-2896,1600-065X,IMMUNOLOGY(SCIE),8.3,Q1,16/183
Progress of Theoretical and Experimental Physics,2050-3911,N/A,"PHYSICS, MULTIDISCIPLINARY(SCIE);PHYSICS, PARTICLES & FIELDS(SCIE)",8.3,Q1,10/114
AMERICAN JOURNAL OF KIDNEY DISEASES,0272-6386,1523-6838,UROLOGY & NEPHROLOGY(SCIE),8.2,Q1,8/133
AMERICAN JOURNAL OF TRANSPLANTATION,1600-6135,1600-6143,SURGERY(SCIE);TRANSPLANTATION(SCIE),8.2,Q1,45688
INFORMATION & MANAGEMENT,0378-7206,1872-7530,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI);MANAGEMENT(SSCI)",8.2,Q1,7/166
Journal of International Financial Management & Accounting,0954-1314,1467-646X,"BUSINESS, FINANCE(SSCI)",8.2,Q1,7/241
Particle and Fibre Toxicology,1743-8977,1743-8977,TOXICOLOGY(SCIE),8.2,Q1,5/106
Environmental Chemistry and Ecotoxicology,N/A,2590-1826,ENVIRONMENTAL SCIENCES(ESCI);TOXICOLOGY(ESCI),8.2,Q1,5/106
npj Parkinsons Disease,N/A,2373-8057,NEUROSCIENCES(SCIE),8.2,Q1,20/314
SUSTAINABLE DEVELOPMENT,0968-0802,1099-1719,DEVELOPMENT STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SSCI);REGIONAL & URBAN PLANNING(SSCI),8.2,Q1,1/65
IEEE COMMUNICATIONS MAGAZINE,0163-6804,1558-1896,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)",8.2,Q1,29/366
HYPERTENSION,0194-911X,1524-4563,PERIPHERAL VASCULAR DISEASE(SCIE),8.2,Q1,7/98
Cancer Immunology Research,2326-6066,2326-6074,IMMUNOLOGY(SCIE);ONCOLOGY(SCIE),8.2,Q1,18/183
JOURNAL OF CARDIAC FAILURE,1071-9164,1532-8414,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),8.2,Q1,19/230
Earths Future,N/A,2328-4277,"ENVIRONMENTAL SCIENCES(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)",8.2,Q1,12/258
FREE RADICAL BIOLOGY AND MEDICINE,0891-5849,1873-4596,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE),8.2,Q1,14/191
Friction,2223-7690,2223-7704,"ENGINEERING, MECHANICAL(SCIE)",8.2,Q1,7/182
IEEE Open Journal of the Computer Society,N/A,2644-1268,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(ESCI);COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);COMPUTER SCIENCE, THEORY & METHODS(ESCI);ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI)",8.2,Q1,14/258
Developments in the Built Environment,N/A,2666-1659,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE)",8.2,Q1,7/183
Water Research X,N/A,2589-9147,"ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE);WATER RESOURCES(SCIE)",8.2,Q1,6/131
Food Chemistry-X,2590-1575,2590-1575,"CHEMISTRY, APPLIED(SCIE);FOOD SCIENCE & TECHNOLOGY(SCIE)",8.2,Q1,11/181
ACS Applied Materials & Interfaces,1944-8244,1944-8252,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",8.2,Q1,83/460
Future Foods,2666-8335,2666-8335,FOOD SCIENCE & TECHNOLOGY(ESCI),8.2,Q1,11/181
Materials Today Nano,2588-8420,2588-8420,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",8.2,Q1,83/460
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,0079-6565,1873-3301,"CHEMISTRY, PHYSICAL(SCIE);PHYSICS, ATOMIC, MOLECULAR & CHEMICAL(SCIE);SPECTROSCOPY(SCIE)",8.2,Q1,1/44
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,1939-5116,1939-0041,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",8.2,Q1,22/195
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,0007-1013,1467-8535,EDUCATION & EDUCATIONAL RESEARCH(SSCI),8.1,Q1,7/756
HEALTH AFFAIRS,0278-2715,0278-2715,HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI),8.1,Q1,3/124
Journal of Statistical Software,1548-7660,1548-7660,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);STATISTICS & PROBABILITY(SCIE)",8.1,Q1,3/167
Lancet Regional Health-Western Pacific,N/A,2666-6065,"HEALTH CARE SCIENCES & SERVICES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",8.1,Q1,5/185
AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,1537-6605,GENETICS & HEREDITY(SCIE),8.1,Q1,12/191
DRUG DELIVERY,1071-7544,1521-0464,PHARMACOLOGY & PHARMACY(SCIE),8.1,Q1,17/352
NEW PHYTOLOGIST,0028-646X,1469-8137,PLANT SCIENCES(SCIE),8.1,Q1,12/273
Diagnostic and Interventional Imaging,2211-5684,2211-5684,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",8.1,Q1,8/212
Tumour Virus Research,2666-6790,2666-6790,VIROLOGY(ESCI),8.1,Q1,3/42
Current Pollution Reports,2198-6592,2198-6592,"ENVIRONMENTAL SCIENCES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)",8.1,Q1,15/419
Molecular Horticulture,2730-9401,2730-9401,HORTICULTURE(SCIE);PLANT SCIENCES(SCIE),8.1,Q1,2/45
Adolescent Research Review,2363-8346,2363-8354,"PSYCHOLOGY, DEVELOPMENTAL(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",8.1,Q1,3/271
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,1093-7404,1521-6950,"ENVIRONMENTAL SCIENCES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE);TOXICOLOGY(SCIE)",8.1,Q1,15/419
APOPTOSIS,1360-8185,1573-675X,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE),8.1,Q1,33/319
Regenerative Biomaterials,2056-3418,2056-3426,"MATERIALS SCIENCE, BIOMATERIALS(SCIE)",8.1,Q1,11/55
EES Catalysis,N/A,2753-801X,"CHEMISTRY, PHYSICAL(ESCI)",8.1,Q1,42/185
Journal of Hazardous Materials Letters,2666-9110,2666-9110,"ENGINEERING, ENVIRONMENTAL(ESCI);ENVIRONMENTAL SCIENCES(ESCI)",8.1,Q1,36/374
International Journal of STEM Education,2196-7822,2196-7822,"EDUCATION & EDUCATIONAL RESEARCH(SSCI);EDUCATION, SCIENTIFIC DISCIPLINES(SCIE)",8,Q1,8/756
INVESTIGATIVE RADIOLOGY,0020-9996,1536-0210,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",8,Q1,9/212
BASIC RESEARCH IN CARDIOLOGY,0300-8428,1435-1803,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),8,Q1,20/230
JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,0926-9959,1468-3083,DERMATOLOGY(SCIE),8,Q1,6/96
IEEE Transactions on Information Forensics and Security,1556-6013,1556-6021,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",8,Q1,12/147
Petroleum Exploration and Development,2096-4803,1876-3804,"ENERGY & FUELS(SCIE);ENGINEERING, PETROLEUM(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",8,Q1,45681
RESEARCH POLICY,0048-7333,1873-7625,MANAGEMENT(SSCI),8,Q1,28/420
REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,1389-9155,1573-2606,ENDOCRINOLOGY & METABOLISM(SCIE),8,Q1,15/191
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0952-1976,1873-6769,"AUTOMATION & CONTROL SYSTEMS(SCIE);COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE)",8,Q1,5/175
npj Precision Oncology,N/A,2397-768X,ONCOLOGY(SCIE),8,Q1,39/326
Geography and Sustainability,2096-7438,2666-6839,"GEOGRAPHY, PHYSICAL(ESCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(ESCI)",8,Q1,3/67
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,0737-6782,1540-5885,"BUSINESS(SSCI);ENGINEERING, INDUSTRIAL(SCIE);MANAGEMENT(SSCI)",8,Q1,28/420
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,1084-8045,1095-8592,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",8,Q1,6/128
FOOD RESEARCH INTERNATIONAL,0963-9969,1873-7145,FOOD SCIENCE & TECHNOLOGY(SCIE),8,Q1,13/181
Science of The Total Environment,0048-9697,1879-1026,ENVIRONMENTAL SCIENCES(SCIE),8,Q1,39/374
Biofabrication,1758-5082,1758-5090,"ENGINEERING, BIOMEDICAL(SCIE);MATERIALS SCIENCE, BIOMATERIALS(SCIE)",8,Q1,15/124
Construction and Building Materials,0950-0618,1879-0526,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",8,Q1,8/183
Materials Today Advances,2590-0498,2590-0498,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",8,Q1,85/460
ACM Transactions on Computing for Healthcare,2691-1957,2637-8051,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);MEDICAL INFORMATICS(ESCI)",8,Q1,3/48
Device,N/A,2666-9986,"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",8,Q1,85/460
IEEE Transactions on Network Science and Engineering,2327-4697,2327-4697,"ENGINEERING, MULTIDISCIPLINARY(SCIE);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE)",7.9,Q1,3/136
GENOMICS PROTEOMICS & BIOINFORMATICS,1672-0229,2210-3244,GENETICS & HEREDITY(SCIE),7.9,Q1,13/191
Results in Engineering,2590-1230,2590-1230,"ENGINEERING, MULTIDISCIPLINARY(ESCI)",7.9,Q1,6/175
Tourism Review,1660-5373,1759-8451,"HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI)",7.9,Q1,7/139
ECOLOGY LETTERS,1461-023X,1461-0248,ECOLOGY(SCIE),7.9,Q1,7/200
JOURNAL OF HEADACHE AND PAIN,1129-2369,1129-2377,CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE),7.9,Q1,14/285
HAEMATOLOGICA,0390-6078,1592-8721,HEMATOLOGY(SCIE),7.9,Q1,11/98
BREAST,0960-9776,1532-3080,OBSTETRICS & GYNECOLOGY(SCIE);ONCOLOGY(SCIE),7.9,Q1,4/140
Journal of Service Management,1757-5818,1757-5826,MANAGEMENT(SSCI),7.9,Q1,30/420
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,0149-7634,1873-7528,BEHAVIORAL SCIENCES(SCIE);NEUROSCIENCES(SCIE),7.9,Q1,3/57
Materials Research Letters,2166-3831,2166-3831,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);METALLURGY & METALLURGICAL ENGINEERING(SCIE)",7.9,Q1,7/96
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,0968-090X,1879-2359,TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE),7.9,Q1,9/77
MATERIALS & DESIGN,0264-1275,1873-4197,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",7.9,Q1,88/460
ENTREPRENEURSHIP THEORY AND PRACTICE,1042-2587,1540-6520,BUSINESS(SSCI),7.9,Q1,25/316
Materials Today Sustainability,2589-2347,2589-2347,"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",7.9,Q1,88/460
JOURNAL OF POWER SOURCES,0378-7753,1873-2755,"CHEMISTRY, PHYSICAL(SCIE);ELECTROCHEMISTRY(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",7.9,Q1,7/44
Journal of Nanostructure in Chemistry,2008-9244,2193-8865,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",7.9,Q1,41/239
Journal of Obesity & Metabolic Syndrome,2508-6235,2508-7576,ENDOCRINOLOGY & METABOLISM(ESCI),7.9,Q1,16/191
Annual Review of Genomics and Human Genetics,1527-8204,1545-293X,GENETICS & HEREDITY(SCIE),7.9,Q1,13/191
Journal of Orthopaedic Translation,2214-031X,2214-031X,ORTHOPEDICS(SCIE),7.8,Q1,3/139
European Review of Social Psychology,1046-3283,1479-277X,"PSYCHOLOGY, SOCIAL(SSCI)",7.8,Q1,2/78
ANNALS OF TOURISM RESEARCH,0160-7383,1873-7722,"HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI);SOCIOLOGY(SSCI)",7.8,Q1,2/219
PSYCHOLOGICAL METHODS,1082-989X,1939-1463,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",7.8,Q1,9/221
Eurosurveillance,1025-496X,1560-7917,INFECTIOUS DISEASES(SCIE),7.8,Q1,6/137
Journal of Mixed Methods Research,1558-6898,1558-6901,"SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",7.8,Q1,4/271
JPAD-Journal of Prevention of Alzheimers Disease,2274-5807,2426-0266,CLINICAL NEUROLOGY(SCIE),7.8,Q1,15/285
Journal of Hospitality and Tourism Management,1447-6770,1839-5260,"HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI);MANAGEMENT(SSCI)",7.8,Q1,8/139
Resources Environment and Sustainability,2666-9161,2666-9161,ENVIRONMENTAL SCIENCES(ESCI);ENVIRONMENTAL STUDIES(ESCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(ESCI),7.8,Q1,17/191
FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS,0015-8208,1521-3978,"PHYSICS, MULTIDISCIPLINARY(SCIE)",7.8,Q1,11/114
JOURNAL OF INTERACTIVE MARKETING,1094-9968,1520-6653,BUSINESS(SSCI),7.8,Q1,26/316
Journal of Sustainable Tourism,0966-9582,1747-7646,"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SSCI);HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI)",7.8,Q1,8/139
npj Science of Food,N/A,2396-8370,FOOD SCIENCE & TECHNOLOGY(SCIE),7.8,Q1,14/181
Journal of Intelligent and Connected Vehicles,2399-9802,2399-9802,TRANSPORTATION SCIENCE & TECHNOLOGY(ESCI),7.8,Q1,10/77
Hepatobiliary Surgery and Nutrition,2304-3881,2304-389X,GASTROENTEROLOGY & HEPATOLOGY(SCIE);NUTRITION & DIETETICS(SCIE);SURGERY(SCIE),7.8,Q1,7/312
PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,0957-5820,1744-3598,"ENGINEERING, CHEMICAL(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE)",7.8,Q1,19/175
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,1098-5557,MICROBIOLOGY(SCIE),7.8,Q1,15/163
SEMINARS IN IMMUNOLOGY,1044-5323,1096-3618,IMMUNOLOGY(SCIE),7.8,Q1,19/183
HARVARD BUSINESS REVIEW,0017-8012,0017-8012,BUSINESS(SSCI);MANAGEMENT(SSCI),7.8,Q1,31/420
ANNALS OF NEUROLOGY,0364-5134,1531-8249,CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE),7.7,Q1,16/285
THORAX,0040-6376,1468-3296,RESPIRATORY SYSTEM(SCIE),7.7,Q1,8/108
PLOS Digital Health,N/A,2767-3170,HEALTH CARE SCIENCES & SERVICES(ESCI);MEDICAL INFORMATICS(ESCI),7.7,Q1,7/185
JACC-Clinical Electrophysiology,2405-500X,2405-5018,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),7.7,Q1,21/230
ENVIRONMENTAL RESEARCH,0013-9351,1096-0953,"ENVIRONMENTAL SCIENCES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)",7.7,Q1,18/419
BRIEFINGS IN BIOINFORMATICS,1467-5463,1477-4054,BIOCHEMICAL RESEARCH METHODS(SCIE);MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE),7.7,Q1,2/67
BRITISH JOURNAL OF PHARMACOLOGY,0007-1188,1476-5381,PHARMACOLOGY & PHARMACY(SCIE),7.7,Q1,18/352
SENSORS AND ACTUATORS B-CHEMICAL,N/A,0925-4005,"CHEMISTRY, ANALYTICAL(SCIE);ELECTROCHEMISTRY(SCIE);INSTRUMENTS & INSTRUMENTATION(SCIE)",7.7,Q1,2/79
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,1350-4509,1745-2627,ECOLOGY(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE),7.7,Q1,8/200
Molecular Systems Biology,1744-4292,1744-4292,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE),7.7,Q1,34/319
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,1361-9209,1879-2340,ENVIRONMENTAL STUDIES(SSCI);TRANSPORTATION(SSCI);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE),7.7,Q1,5/61
GENES & DEVELOPMENT,0890-9369,1549-5477,CELL BIOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE),7.7,Q1,3/39
Cell Systems,2405-4712,2405-4720,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE),7.7,Q1,34/319
NEOPLASIA,1476-5586,1476-5586,ONCOLOGY(SCIE),7.7,Q1,41/326
Plant Nano Biology,N/A,2773-1111,NANOSCIENCE & NANOTECHNOLOGY(ESCI);PLANT SCIENCES(ESCI),7.7,Q1,14/273
CLINICAL SCIENCE,0143-5221,1470-8736,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",7.7,Q1,23/195
Composites Communications,2452-2139,2452-2139,"MATERIALS SCIENCE, COMPOSITES(SCIE)",7.7,Q1,7/34
BME Frontiers,N/A,2765-8031,"ENGINEERING, BIOMEDICAL(ESCI)",7.7,Q1,16/124
FUEL PROCESSING TECHNOLOGY,0378-3820,1873-7188,"CHEMISTRY, APPLIED(SCIE);ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE)",7.7,Q1,20/175
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,0004-6280,1538-3873,ASTRONOMY & ASTROPHYSICS(SCIE),7.7,Q1,10/84
Journal of Hazardous Materials Advances,2772-4166,2772-4166,"ENGINEERING, ENVIRONMENTAL(ESCI);ENVIRONMENTAL SCIENCES(ESCI)",7.7,Q1,41/374
