期刊缩写,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score,JCR分区,2019年文章数,出版国家,出版周期
Drewno,Drewno,174,0.578,0.00019,Q4,25,波兰,半年刊
Estud Geol-Madrid,ESTUDIOS GEOLOGICOS-MADRID,424,0.577,0.00019,Q4,37,西班牙,半年刊
J Appl Probab,JOURNAL OF APPLIED PROBABILITY,3070,0.577,0.00332,Q4,66,英国,季刊
J Econ Issues,JOURNAL OF ECONOMIC ISSUES,1271,0.577,0.00057,Q4,76,,
J Lat Am Caribb Anth,Journal of Latin American and Caribbean Anthropology,250,0.577,0.00052,Q3,43,,
Chem J Chinese U,CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE,1666,0.576,0.00106,Q4,342,中国,月刊
Icsid Rev,ICSID Review-Foreign Investment Law Journal,230,0.576,0.00045,Q4,8,,
Order,ORDER-A JOURNAL ON THE THEORY OF ORDERED SETS AND ITS APPLICATIONS,467,0.576,0.00109,Q3,37,荷兰,季刊
Ochr Sr,Ochrona Srodowiska,255,0.576,0.00011,Q4,8,波兰,季刊
Rev Iberoam Diagn Ev,Revista Iberoamericana de Diagnostico y Evaluacion-e Avaliacao Psicologica,186,0.576,0.00013,Q4,57,,
Russ J Non-Ferr Met+,Russian Journal of Non-Ferrous Metals,471,0.576,0.00055,Q4,100,俄国,双月刊
Sci Context,SCIENCE IN CONTEXT,443,0.576,0.00047,Q3,16,美国,季刊
Geography,GEOGRAPHY,529,0.575,0.00033,Q4,18,,
Ann Bot Fenn,ANNALES BOTANICI FENNICI,861,0.574,0.00064,Q4,49,芬兰,双月刊
Child Health Care,CHILDRENS HEALTH CARE,522,0.574,0.00044,Q4,27,,
IEICE T Electron,IEICE TRANSACTIONS ON ELECTRONICS,1035,0.574,0.00114,Q4,124,日本,
Wilson J Ornithol,Wilson Journal of Ornithology,946,0.574,0.00127,Q4,99,美国,季刊
J Pak Med Assoc,JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,3336,0.573,0.003,Q4,343,,月刊
J Torrey Bot Soc,JOURNAL OF THE TORREY BOTANICAL SOCIETY,702,0.573,0.00048,Q4,30,美国,季刊
T Can Soc Mech Eng,TRANSACTIONS OF THE CANADIAN SOCIETY FOR MECHANICAL ENGINEERING,366,0.573,0.00028,Q4,56,加拿大,季刊
Cartogr J,CARTOGRAPHIC JOURNAL,670,0.571,0.00057,Q4,18,,
Cem Wapno Beton,Cement Wapno Beton,222,0.571,0.00014,Q4,45,波兰,双月刊
Interpreting,Interpreting,238,0.571,0.00029,Q3,11,,
Maydica,MAYDICA,682,0.571,0.00027,Q4,16,意大利,季刊
Rev Mex Psicol,REVISTA MEXICANA DE PSICOLOGIA,185,0.571,0.00006,Q4,14,,
Turk Entomol Derg-Tu,TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY,311,0.571,0.00033,Q4,40,土耳其,季刊
Acta Ortop Bras,Acta Ortopedica Brasileira,515,0.57,0.00075,Q4,62,巴西,双月刊
Deut Med Wochenschr,DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,1872,0.569,0.00123,Q4,214,德国,周刊
INT J MENT HEALTH PR,International Journal of Mental Health Promotion,225,0.567,0.00024,Q4,,英国,
Sequential Anal,Sequential Analysis-Design Methods and Applications,373,0.567,0.00044,Q4,26,美国,
Trav Humain,TRAVAIL HUMAIN,256,0.567,0.00015,Q4,12,法国,季刊
Acta Vet Brno,ACTA VETERINARIA BRNO,857,0.566,0.0004,Q3,60,捷克共和国,季刊
Comp Math Math Phys+,COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS,2288,0.565,0.0017,Q4,170,俄国,月刊
Int J Game Theory,INTERNATIONAL JOURNAL OF GAME THEORY,1327,0.565,0.00181,Q4,50,德国,季刊
J Compet Law Econ,Journal of Competition Law & Economics,301,0.565,0.0007,Q4,4,,
Rev Kriminalistiko K,Revija za Kriminalistiko in Kriminologijo,383,0.565,0.00005,Q4,22,,
Serb Astron J,Serbian Astronomical Journal,144,0.565,0.00027,Q4,11,塞尔维亚,
Translator,Translator,440,0.565,0.00027,Q3/Q4,10,,
Am J Fam Ther,AMERICAN JOURNAL OF FAMILY THERAPY,705,0.564,0.00039,Q4,22,,
Curr Top Nutraceut R,Current Topics in Nutraceutical Research,201,0.564,0.00015,Q4,68,美国,季刊
Fish Pathol,FISH PATHOLOGY,811,0.564,0.00019,Q3/Q4,12,日本,季刊
Glas Mat,Glasnik Matematicki,318,0.564,0.00059,Q3/Q4,20,克罗地亚,半年刊
Ocean Dev Int Law,OCEAN DEVELOPMENT AND INTERNATIONAL LAW,237,0.564,0.00023,Q4,18,,
Bradleya,Bradleya,147,0.563,0.00018,Q4,31,英国,年刊
ITEA-Inf Tec Econ Ag,ITEA-Informacion Tecnica Economica Agraria,142,0.563,0.00007,Q4,24,西班牙,季刊
J Comp Ger Linguist,Journal of Comparative Germanic Linguistics,140,0.563,0.00015,Q3,8,,
J Exot Pet Med,Journal of Exotic Pet Medicine,417,0.563,0.00044,Q3,109,美国,季刊
Rev Sci Tech Oie,REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES,2678,0.563,0.00186,Q3,41,法国,三年刊
Hist Anthropol,History and Anthropology,347,0.562,0.0009,Q2/Q3,40,,
Pak J Pharm Sci,Pakistan Journal of Pharmaceutical Sciences,2115,0.562,0.00233,Q4,402,巴基斯坦,季刊
Rev Neurologia,REVISTA DE NEUROLOGIA,1705,0.562,0.00111,Q4,126,西班牙,双月刊
Herpetol J,HERPETOLOGICAL JOURNAL,775,0.561,0.00063,Q4,20,英国,季刊
Indian J Surg,Indian Journal of Surgery,1112,0.561,0.00149,Q4,107,印度,双月刊
Southwest Entomol,SOUTHWESTERN ENTOMOLOGIST,754,0.561,0.00092,Q4,112,美国,季刊
Bioagro,Bioagro,162,0.56,0.00005,Q4,25,,
Concept Magn Reson A,CONCEPTS IN MAGNETIC RESONANCE PART A,490,0.56,0.00036,Q4,3,美国,双月刊
Ekon Cas,EKONOMICKY CASOPIS,267,0.56,0.00021,Q4,50,,
J Cytol,Journal of Cytology,430,0.56,0.00049,Q4,36,印度,季刊
Arch Hist Exact Sci,ARCHIVE FOR HISTORY OF EXACT SCIENCES,373,0.559,0.00036,Q3/Q4,16,德国,双月刊
Crustaceana,CRUSTACEANA,2168,0.559,0.00151,Q4,101,荷兰,月刊
Am Malacol Bull,AMERICAN MALACOLOGICAL BULLETIN,558,0.558,0.00045,Q4,9,美国,半年刊
Main Group Met Chem,MAIN GROUP METAL CHEMISTRY,207,0.558,0.0001,Q4,20,英国,
Perspect Stud Transl,Perspectives-Studies in Translation Theory and Practice,387,0.558,0.00067,Q3,53,,
Gastroenterol Nurs,Gastroenterology Nursing,459,0.557,0.00052,Q4,41,美国,双月刊
Integr Ferroelectr,INTEGRATED FERROELECTRICS,1244,0.557,0.00111,Q4,168,英国,月刊
Russ J Ecol+,RUSSIAN JOURNAL OF ECOLOGY,977,0.557,0.00059,Q4,76,俄国,双月刊
Theor Found Chem En+,THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING,908,0.557,0.00055,Q4,133,俄国,双月刊
Acta Protozool,ACTA PROTOZOOLOGICA,588,0.556,0.00045,Q4,7,波兰,季刊
Bol Inst Pesca,BOLETIM DO INSTITUTO DE PESCA,676,0.556,0.00066,Q4,60,巴西,半年刊
Cienc Rural,CIENCIA RURAL,3603,0.556,0.00337,Q4,240,巴西,季刊
Commun Algebra,COMMUNICATIONS IN ALGEBRA,4165,0.556,0.00842,Q3,399,美国,月刊
Differ Geom Appl,DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS,934,0.556,0.00303,Q3/Q4,77,NETHERLANDS,双月刊
Ethik Med,Ethik in der Medizin,115,0.556,0.0001,Q4,20,德国,季刊
Ferroelectrics Lett,FERROELECTRICS LETTERS SECTION,296,0.556,0.00009,Q4,13,英国,双月刊
Fund Math,FUNDAMENTA MATHEMATICAE,1957,0.556,0.00252,Q3,59,波兰,月刊
Infin Dimens Anal Qu,INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS,896,0.556,0.00082,Q4,30,新加坡,季刊
Invertebr Neurosci,INVERTEBRATE NEUROSCIENCE,316,0.556,0.00019,Q4,12,英国,季刊
J Korean Stat Soc,Journal of the Korean Statistical Society,344,0.556,0.001,Q4,46,韩国,季刊
Nagoya Math J,NAGOYA MATHEMATICAL JOURNAL,935,0.556,0.00127,Q3,22,日本,季刊
Phi Delta Kappan,PHI DELTA KAPPAN,1766,0.556,0.00081,Q4,67,,
Water Resour+,Water Resources,858,0.556,0.00074,Q4,130,俄国,双月刊
Z Arb Organ,ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,190,0.556,0.0001,Q4,16,,
Hum Stud,HUMAN STUDIES,634,0.554,0.00032,Q4,31,,
Indian J Genet Pl Br,INDIAN JOURNAL OF GENETICS AND PLANT BREEDING,629,0.554,0.00049,Q4,45,印度,三年刊
Irish Educ Stud,Irish Educational Studies,281,0.554,0.0003,Q4,30,,
J Aust Stud,Journal of Australian Studies,313,0.554,0.00023,Q2/Q3,22,,
Notre Dame J Form L,Notre Dame Journal of Formal Logic,624,0.554,0.00106,Q3,33,美国,
Electromagnetics,ELECTROMAGNETICS,451,0.553,0.00032,Q4,44,美国,双月刊
Food Sci Technol Res,FOOD SCIENCE AND TECHNOLOGY RESEARCH,1450,0.553,0.00103,Q4,102,日本,季刊
Fresen Environ Bull,FRESENIUS ENVIRONMENTAL BULLETIN,3646,0.553,0.0023,Q4,1236,德国,月刊
Hispania-J Dev Inter,HISPANIA-A JOURNAL DEVOTED TO THE TEACHING OF SPANISH AND PORTUGUESE,416,0.553,0.00028,Q3,38,,
J Med Primatol,JOURNAL OF MEDICAL PRIMATOLOGY,701,0.553,0.00055,Q4,53,瑞士,双月刊
Appl Categor Struct,APPLIED CATEGORICAL STRUCTURES,397,0.552,0.00162,Q4,32,荷兰,双月刊
Turk J Vet Anim Sci,TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES,1243,0.552,0.00086,Q4,107,土耳其,双月刊
Rev Psicol Soc,Revista de Psicologia Social,290,0.551,0.00019,Q4,23,,
S Afr J Surg,SOUTH AFRICAN JOURNAL OF SURGERY,324,0.551,0.00031,Q4,59,南非,季刊
Acta Endocrinol-Buch,Acta Endocrinologica-Bucharest,293,0.55,0.00037,Q4,62,罗马尼亚,季刊
Economist-Netherland,ECONOMIST-NETHERLANDS,427,0.55,0.00035,Q4,18,,
Hacienda Publica Esp,Hacienda Publica Espanola-Review of Public Economics,191,0.55,0.00011,Q4,15,,
Int J Lexicogr,INTERNATIONAL JOURNAL OF LEXICOGRAPHY,350,0.55,0.00033,Q3,22,,
Image Anal Stereol,Image Analysis & Stereology,352,0.55,0.00032,Q4,24,斯洛文尼亚,
Int J Sport Financ,International Journal of Sport Finance,333,0.55,0.00021,Q4,17,,
J Palaeontol Soc Ind,JOURNAL OF THE PALAEONTOLOGICAL SOCIETY OF INDIA,401,0.55,0.00019,Q4,23,印度,
Z Dtsch Ges Geowiss,Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften,354,0.55,0.00037,Q4,19,德国,季刊
Asian Perspect-Seoul,Asian Perspective,262,0.549,0.00035,Q4,25,,
Atl Geol,ATLANTIC GEOLOGY,210,0.548,0.00011,Q4,3,加拿大,
Dokl Math,DOKLADY MATHEMATICS,925,0.548,0.00267,Q4,125,俄国,双月刊
Glasgow Math J,GLASGOW MATHEMATICAL JOURNAL,746,0.548,0.0014,Q4,40,英国,三年刊
Metall Ital,METALLURGIA ITALIANA,315,0.546,0.00025,Q4,61,意大利,月刊
Funct Lang,Functions of Language,191,0.545,0.00024,Q3,15,,
Glass Ceram+,GLASS AND CERAMICS,676,0.545,0.00026,Q4,95,俄国,双月刊
J Lat Am Stud,JOURNAL OF LATIN AMERICAN STUDIES,744,0.545,0.00076,Q3,27,,
Mitt Klosterneuburg,MITTEILUNGEN KLOSTERNEUBURG,97,0.545,0.00005,Q4,21,奥地利,双月刊
Northwest Sci,NORTHWEST SCIENCE,756,0.545,0.0004,Q4,26,美国,季刊
Appl Math-Czech,Applications of Mathematics,387,0.544,0.00068,Q4,32,捷克共和国,双月刊
Mosc Math J,Moscow Mathematical Journal,577,0.544,0.00217,Q4,30,俄国,季刊
Russ J Phys Chem B+,Russian Journal of Physical Chemistry B,732,0.544,0.00093,Q4,125,俄国,双月刊
Columbia J Trans Law,COLUMBIA JOURNAL OF TRANSNATIONAL LAW,335,0.543,0.00038,Q4,8,,
E Eur Polit Soc,EAST EUROPEAN POLITICS AND SOCIETIES,557,0.543,0.001,Q3/Q4,43,,
Frequenz,FREQUENZ,293,0.543,0.00039,Q4,47,德国,双月刊
J Bus-Bus Mark,Journal of Business-to-Business Marketing,336,0.543,0.00017,Q4,22,,
J Volcanol Seismol+,Journal of Volcanology and Seismology,365,0.543,0.00045,Q4,29,俄国,双月刊
Patterns Prejudice,PATTERNS OF PREJUDICE,501,0.543,0.00065,Q4,28,,
Aust Nz J Stat,AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,624,0.542,0.00087,Q4,21,英国,季刊
Asian J Math,Asian Journal of Mathematics,623,0.542,0.00237,Q4,27,美国,季刊
Australas Emerg Care,Australasian Emergency Care,20,0.542,0.00003,Q4,36,,
B Aust Math Soc,BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY,1514,0.542,0.00276,Q4,113,澳大利亚,双月刊
Folia Zool,FOLIA ZOOLOGICA,719,0.542,0.00042,Q4,24,捷克共和国,季刊
Rev Rom Mater,Revista Romana de Materiale-Romanian Journal of Materials,215,0.542,0.00015,Q4,71,罗马尼亚,季刊
Algebr Represent Th,ALGEBRAS AND REPRESENTATION THEORY,566,0.541,0.00307,Q4,67,荷兰,双月刊
Cienc Mar,CIENCIAS MARINAS,660,0.541,0.00041,Q4,13,墨西哥,季刊
Earth Sci Res J,Earth Sciences Research Journal,235,0.541,0.00035,Q4,41,哥伦比亚,半年刊
Ger Hist,German History,194,0.541,0.00044,Q2,21,,
J Inf Sci Eng,JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,645,0.541,0.00053,Q4,78,中国台湾,双月刊
Mikrobiyol Bul,MIKROBIYOLOJI BULTENI,587,0.541,0.00052,Q4,48,土耳其,季刊
Radioprotection,RADIOPROTECTION,322,0.541,0.00026,Q4,33,法国,季刊
Solid Fuel Chem+,Solid Fuel Chemistry,396,0.541,0.0003,Q4,50,俄国,双月刊
Int J Environ Pollut,INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,833,0.54,0.00028,Q4,34,瑞士,月刊
J S Afr Inst Civ Eng,Journal of the South African Institution of Civil Engineering,167,0.54,0.00018,Q4,24,南非,半年刊
Scot J Polit Econ,SCOTTISH JOURNAL OF POLITICAL ECONOMY,744,0.54,0.00028,Q4,31,,
Semin Roentgenol,SEMINARS IN ROENTGENOLOGY,384,0.54,0.00024,Q4,32,美国,季刊
Heroin Addict Rel Cl,Heroin Addiction and Related Clinical Problems,165,0.538,0.00016,Q4,33,,
J Comput Sys Sc Int+,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,447,0.538,0.00042,Q4,87,俄国,双月刊
J Math Sociol,JOURNAL OF MATHEMATICAL SOCIOLOGY,1028,0.538,0.00053,Q4,12,英国,季刊
J S Asian Dev,Journal of South Asian Development,103,0.538,0.00027,Q4,13,,
J Mex Chem Soc,Journal of the Mexican Chemical Society,524,0.538,0.00042,Q4,35,墨西哥,季刊
Laser Eng,LASERS IN ENGINEERING,258,0.538,0.00022,Q4,78,英国,季刊
Mycotaxon,MYCOTAXON,2321,0.538,0.00113,Q4,54,美国,季刊
Mosc U Phys B+,Moscow University Physics Bulletin,355,0.538,0.00046,Q4,74,俄国,双月刊
Northeast Nat,NORTHEASTERN NATURALIST,713,0.538,0.00071,Q4,71,美国,季刊
Pharm Chem J+,PHARMACEUTICAL CHEMISTRY JOURNAL,1710,0.538,0.0009,Q4,171,美国,月刊
Geriatr Psychol Neur,Geriatrie et Psychologie Neuropsychiatrie de Vieillissement,172,0.537,0.00026,Q4,51,法国,
Indian J Biochem Bio,INDIAN JOURNAL OF BIOCHEMISTRY & BIOPHYSICS,1073,0.537,0.00027,Q4,20,印度,双月刊
J Homotopy Relat Str,Journal of Homotopy and Related Structures,154,0.537,0.00133,Q4,36,REP格鲁吉亚,
J Vib Eng Technol,Journal of Vibration Engineering & Technologies,191,0.537,0.0002,Q4,60,印度,
Scot Med J,SCOTTISH MEDICAL JOURNAL,540,0.537,0.00041,Q4,30,苏格兰,季刊
Stud Psychol,STUDIA PSYCHOLOGICA,311,0.537,0.00025,Q4,20,,
Anthropologie,ANTHROPOLOGIE,1064,0.536,0.0005,Q4,32,,
Int J Trop Insect Sc,INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,385,0.536,0.00045,Q4,41,英国,
Sotsiol Issled+,SOTSIOLOGICHESKIE ISSLEDOVANIYA,1124,0.536,0.00021,Q4,181,,
Colloq Math-Warsaw,COLLOQUIUM MATHEMATICUM,1222,0.535,0.00185,Q4,75,波兰,
J Entomol Sci,JOURNAL OF ENTOMOLOGICAL SCIENCE,649,0.535,0.00045,Q4,35,美国,季刊
J Korean Phys Soc,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,3559,0.535,0.00334,Q4,356,韩国,月刊
Cybium,CYBIUM,859,0.534,0.00046,Q4,40,法国,季刊
Natl Med J India,NATIONAL MEDICAL JOURNAL OF INDIA,709,0.534,0.00047,Q4,19,印度,双月刊
Austrian J Earth Sci,Austrian Journal of Earth Sciences,314,0.533,0.00034,Q4,11,奥地利,年刊
Cienc Investig Agrar,Ciencia e Investigacion Agraria,384,0.533,0.00026,Q3,30,智利,三年刊
Folia Biol-Krakow,FOLIA BIOLOGICA-KRAKOW,366,0.533,0.00034,Q4,18,波兰,半年刊
Global Econ Rev,Global Economic Review,224,0.533,0.00034,Q4,23,,
J Employment Couns,JOURNAL OF EMPLOYMENT COUNSELING,345,0.533,0.00021,Q4,12,,
Jokull,Jokull,283,0.533,0.00008,Q4,0,冰岛,年刊
J Early Mod Hist,Journal of Early Modern History,213,0.533,0.00053,Q2,20,,
Stud Nonlinear Dyn E,STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,457,0.533,0.00056,Q4,31,,
Z Sprachwiss,Zeitschrift fur Sprachwissenschaft,141,0.533,0.00014,Q3,7,,
Acta Clin Croat,Acta Clinica Croatica,512,0.532,0.00072,Q4,92,克罗地亚,季刊
Int Rev Soc Hist,INTERNATIONAL REVIEW OF SOCIAL HISTORY,501,0.532,0.00049,Q2,26,,
Int J Nanotechnol,International Journal of Nanotechnology,546,0.532,0.00045,Q4,34,英国,季刊
J Pseudo-Differ Oper,Journal of Pseudo-Differential Operators and Applications,150,0.532,0.00068,Q4,45,瑞士,
Am Bankrupt Law J,AMERICAN BANKRUPTCY LAW JOURNAL,131,0.531,0.00015,Q4,12,,
Am Surgeon,AMERICAN SURGEON,5802,0.531,0.00588,Q4,477,美国,月刊
Anasth Intensiv Notf,ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE,378,0.531,0.00019,Q4,56,德国,双月刊
Legume Res,Legume Research,550,0.531,0.00058,Q4,140,印度,季刊
Rev Med Chile,REVISTA MEDICA DE CHILE,1919,0.531,0.00141,Q4,198,智利,月刊
Topol Appl,TOPOLOGY AND ITS APPLICATIONS,2831,0.531,0.00577,Q4,336,荷兰,月刊
J Cosmet Sci,JOURNAL OF COSMETIC SCIENCE,530,0.53,0.00019,Q4,23,美国,双月刊
Adv Strateg Manage,Advances in Strategic Management-A Research Annual,432,0.528,0.00072,Q4,0,,
Urologe,UROLOGE,635,0.528,0.00061,Q4,124,德国,
Anal Math,Analysis Mathematica,284,0.527,0.00062,Q4,46,匈牙利,季刊
Bangl J Plant Taxon,Bangladesh Journal of Plant Taxonomy,168,0.527,0.00018,Q4,28,孟加拉国,半年刊
Estud Psicol-Madrid,Estudios de Psicologia,196,0.527,0.00016,Q4,27,,
J Convex Anal,JOURNAL OF CONVEX ANALYSIS,744,0.527,0.00186,Q4,72,德国,半年刊
Rev Mex Fis,REVISTA MEXICANA DE FISICA,727,0.527,0.00043,Q4,88,墨西哥,双月刊
Hemoglobin,HEMOGLOBIN,917,0.526,0.00097,Q4,34,美国,季刊
Himal Geol,HIMALAYAN GEOLOGY,313,0.526,0.00014,Q4,21,印度,半年刊
Iheringia Ser Zool,IHERINGIA SERIE ZOOLOGIA,710,0.526,0.00056,Q4,33,巴西,半年刊
J Commun Health Nurs,Journal of Community Health Nursing,310,0.526,0.00028,Q4,20,美国,季刊
Oceania,OCEANIA,375,0.526,0.00022,Q4,19,,
Paedagog Hist,PAEDAGOGICA HISTORICA,401,0.526,0.00048,Q3/Q4,30,,
Curr Herpetol,CURRENT HERPETOLOGY,150,0.525,0.00021,Q4,18,,
Int J Diabetes Dev C,International Journal of Diabetes in Developing Countries,494,0.525,0.00043,Q4,107,印度,季刊
J Black Stud,JOURNAL OF BLACK STUDIES,808,0.525,0.0005,Q4,35,,
Psychoanal Stud Chil,Psychoanalytic Study of the Child,438,0.525,0.0002,Q2,24,,
Hortic Bras,Horticultura Brasileira,1202,0.523,0.00074,Q4,67,巴西,季刊
Int J Found Comput S,INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,577,0.523,0.00132,Q4,66,新加坡,双月刊
Int J Group Psychoth,INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,362,0.523,0.00026,Q4,23,,
Trop Doct,TROPICAL DOCTOR,874,0.523,0.0008,Q4,90,英国,季刊
Visual Commun-US,Visual Communication,483,0.523,0.00047,Q4,23,,
Dynam Syst Appl,DYNAMIC SYSTEMS AND APPLICATIONS,312,0.522,0.00031,Q4,44,美国,季刊
Hist Polit,Historia y Politica,190,0.522,0.00011,Q2/Q4,23,,
Mech Eng,MECHANICAL ENGINEERING,1205,0.522,0.00032,Q4,45,美国,月刊
New York J Math,New York Journal of Mathematics,469,0.522,0.0026,Q4,59,美国,
Rev Union Mat Argent,Revista de la Union Matematica Argentina,166,0.522,0.00029,Q4,39,阿根廷,半年刊
Clin Dysmorphol,CLINICAL DYSMORPHOLOGY,432,0.521,0.00043,Q4,47,美国,季刊
Indian J Eng Mater S,INDIAN JOURNAL OF ENGINEERING AND MATERIALS SCIENCES,874,0.521,0.00042,Q4,30,印度,双月刊
Polym-Korea,POLYMER-KOREA,505,0.521,0.00029,Q4,130,韩国,双月刊
Rev Int Contam Ambie,Revista Internacional de Contaminacion Ambiental,426,0.521,0.00032,Q4,119,墨西哥,季刊
Aust Aborig Stud,Australian Aboriginal Studies,185,0.52,0.00014,Q4,6,,
Child Fam Behav Ther,CHILD & FAMILY BEHAVIOR THERAPY,385,0.52,0.00023,Q4,10,,
Rev Chil Infectol,Revista Chilena de Infectologia,638,0.52,0.00068,Q4,88,智利,双月刊
Adansonia,ADANSONIA,191,0.519,0.00017,Q4,13,法国,半年刊
Artery Res,Artery Research,239,0.519,0.00037,Q4,25,,
Kuwait J Sci,Kuwait Journal of Science,207,0.519,0.00034,Q4,49,科威特,
Arch Math,ARCHIV DER MATHEMATIK,2125,0.518,0.00411,Q4,133,瑞士,月刊
Rethink Hist,RETHINKING HISTORY,325,0.518,0.0008,Q2,24,,
Ukr Math J+,Ukrainian Mathematical Journal,1052,0.518,0.00092,Q4,134,乌克兰,月刊
Adv Compos Lett,ADVANCED COMPOSITES LETTERS,188,0.517,0.00014,Q4,31,英国,双月刊
Arch Psychol Relig,Archive for the Psychology of Religion-Archiv fur Religionspsychologie,176,0.517,0.00016,Q4,16,,
J Adv Mech Des Syst,Journal of Advanced Mechanical Design Systems and Manufacturing,546,0.517,0.00056,Q4,97,日本,双月刊
Port Math,Portugaliae Mathematica,378,0.517,0.00056,Q4,4,葡萄牙,
Univ Psychol,Universitas Psychologica,810,0.517,0.00059,Q4,72,,
Form Asp Comput,FORMAL ASPECTS OF COMPUTING,292,0.516,0.00058,Q4,22,美国,季刊
Indian J Pure Ap Mat,INDIAN JOURNAL OF PURE & APPLIED MATHEMATICS,1018,0.516,0.00085,Q4,78,印度,双月刊
Notfall Rettungsmed,Notfall & Rettungsmedizin,363,0.516,0.00039,Q4,78,德国,双月刊
Pol J Vet Sci,POLISH JOURNAL OF VETERINARY SCIENCES,929,0.516,0.00126,Q4,102,波兰,季刊
Rev Med Vet-Toulouse,REVUE DE MEDECINE VETERINAIRE,738,0.516,0.00037,Q4,26,法国,月刊
B Belg Math Soc-Sim,BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,501,0.515,0.00095,Q4,49,比利时,双月刊
ESAIM-Probab Stat,ESAIM-Probability and Statistics,368,0.515,0.00123,Q4,36,法国,
J Korean Acad Nurs,Journal of Korean Academy of Nursing,812,0.515,0.00072,Q4,66,韩国,双月刊
Int J Fem Approaches,International Journal of Feminist Approaches To Bioethics,186,0.514,0.00022,Q4,18,,
J Hist Astron,JOURNAL FOR THE HISTORY OF ASTRONOMY,223,0.514,0.00022,Q3,22,英国,季刊
J Superhard Mater+,Journal of Superhard Materials,438,0.514,0.00034,Q4,54,乌克兰,双月刊
Trav Genre Soc,Travail Genre et Societes,113,0.514,0.00024,Q4,22,,
Anthropol Quart,ANTHROPOLOGICAL QUARTERLY,1033,0.513,0.00127,Q4,37,,
Intersecciones Antro,Intersecciones en Antropologia,285,0.513,0.00033,Q4,10,,
J Hard Tissue Biol,Journal of Hard Tissue Biology,234,0.513,0.00029,Q4,53,日本,季刊
Acta Paul Enferm,Acta Paulista de Enfermagem,909,0.512,0.00051,Q4,90,巴西,双月刊
Int J Algebr Comput,INTERNATIONAL JOURNAL OF ALGEBRA AND COMPUTATION,740,0.512,0.0024,Q4,72,美国,双月刊
Mol Cryst Liq Cryst,MOLECULAR CRYSTALS AND LIQUID CRYSTALS,4304,0.512,0.00174,Q4,167,英国,双月刊
Nephrol Nurs J,Nephrology Nursing Journal,503,0.512,0.0003,Q4,35,,双月刊
P Edinburgh Math Soc,PROCEEDINGS OF THE EDINBURGH MATHEMATICAL SOCIETY,964,0.512,0.00205,Q4,68,英国,三年刊
Russ J Dev Biol+,Russian Journal of Developmental Biology,319,0.512,0.00026,Q4,32,美国,双月刊
Wulfenia,Wulfenia,151,0.512,0.00018,Q4,15,奥地利,年刊
Z Psychiatr Psych Ps,Zeitschrift fur Psychiatrie Psychologie und Psychotherapie,178,0.512,0.00012,Q4,21,,
J Biomater Tiss Eng,Journal of Biomaterials and Tissue Engineering,511,0.511,0.0007,Q4,190,美国,
Folia Phoniatr Logo,FOLIA PHONIATRICA ET LOGOPAEDICA,1003,0.51,0.00054,Q4,29,瑞士,双月刊
Hist Critica,Historia Critica,183,0.509,0.00019,Q2,28,,
Int J Aeronaut Space,International Journal of Aeronautical and Space Sciences,363,0.509,0.0004,Q4,91,韩国,
Int J Transp Econ,International Journal of Transport Economics,185,0.509,0.00011,Q4,22,,
Rev Bras Polit Int,Revista Brasileira de Politica Internacional,279,0.509,0.00025,Q4,22,,
Trop Biomed,TROPICAL BIOMEDICINE,1013,0.509,0.00101,Q4,110,马来西亚,半年刊
Panoeconomicus,Panoeconomicus,216,0.508,0.00022,Q4,31,,
Rev Argent Clin Psic,Revista Argentina de Clinica Psicologica,176,0.508,0.00013,Q4,57,阿根廷,三年刊
Ann Comb,Annals of Combinatorics,478,0.507,0.00142,Q4,62,瑞士,季刊
