Journal,年份,ISSN/EISSN,Review,OA Journal Index（OAJ）,Open Access,Web of Science,标注,大类,大类分区,Top,小类1,小类1分区,小类2,小类2分区,小类3,小类3分区,小类4,小类4分区,小类5,小类5分区,小类6,小类6分区
SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,2025,1359-8546/1758-6852,否,否,否,SSCI,,管理学,2 [123/1025],否, BUSINESS 商业：管理,3 [52/302], MANAGEMENT 管理学,3 [82/404],,,,,,,,
Support for Learning,2025,0268-2141/1467-9604,否,否,否,ESCI,,教育学,4 [587/840],否," EDUCATION, SPECIAL 特殊教育学",4 [54/62],,,,,,,,,,
SUPPORTIVE CARE IN CANCER,2025,0941-4355/1433-7339,否,否,否,SCIE,,医学,3 [1226/5603],否, REHABILITATION 康复医学,2 [23/169], HEALTH CARE SCIENCES & SERVICES 卫生保健与服务,3 [39/173], ONCOLOGY 肿瘤学,3 [107/318],,,,,,
SUPRAMOLECULAR CHEMISTRY,2025,1061-0278/1029-0478,否,否,否,SCIE,,化学,4 [323/490],否," CHEMISTRY, MULTIDISCIPLINARY 化学：综合",4 [145/230],,,,,,,,,,
Supreme Court Review,2025,0081-9557/2158-2459,否,否,否,SSCI,,社会学,3 [645/2039],否, LAW 法学,4 [102/427],,,,,,,,,,
Suranaree Journal of Science and Technology,2025,0858-849X/0858-849X,否,否,否,ESCI,,综合性期刊,4 [113/118],否, MULTIDISCIPLINARY SCIENCES 综合性期刊,4 [125/131],,,,,,,,,,
SURFACE & COATINGS TECHNOLOGY,2025,0257-8972/1879-3347,否,否,否,SCIE,,材料科学,2 [75/495],否," MATERIALS SCIENCE, COATINGS & FILMS 材料科学：膜",1 [2/24]," PHYSICS, APPLIED 物理：应用",2 [28/178],,,,,,,,
SURFACE AND INTERFACE ANALYSIS,2025,0142-2421/1096-9918,否,否,否,SCIE,,化学,3 [236/490],否," CHEMISTRY, PHYSICAL 物理化学",4 [67/104],,,,,,,,,,
SURFACE COATINGS INTERNATIONAL,2025,1754-0925,否,否,否,SCIE,,材料科学,4 [486/495],否," CHEMISTRY, APPLIED 应用化学",4 [73/74]," ENGINEERING, CHEMICAL 工程：化工",4 [167/169]," MATERIALS SCIENCE, COATINGS & FILMS 材料科学：膜",4 [24/24],,,,,,
SURFACE ENGINEERING AND APPLIED ELECTROCHEMISTRY,2025,1068-3755/1934-8002,否,否,否,ESCI,,化学,4 [388/490],否, ELECTROCHEMISTRY 电化学,4 [38/49],,,,,,,,,,
SURFACE ENGINEERING,2025,0267-0844/1743-2944,否,否,否,SCIE,,材料科学,4 [267/495],否," MATERIALS SCIENCE, COATINGS & FILMS 材料科学：膜",4 [14/24],,,,,,,,,,
Surface Innovations,2025,2050-6252/2050-6260,否,否,否,SCIE,,材料科学,4 [316/495],否," MATERIALS SCIENCE, COATINGS & FILMS 材料科学：膜",4 [18/24],,,,,,,,,,
SURFACE REVIEW AND LETTERS,2025,0218-625X/1793-6667,否,否,否,SCIE,,材料科学,4 [388/495],否," PHYSICS, CONDENSED MATTER 物理：凝聚态物理",4 [69/78],,,,,,,,,,
SURFACE SCIENCE REPORTS,2025,0167-5729/1879-274X,是,否,否,SCIE,,化学,1 [21/490],是," PHYSICS, CONDENSED MATTER 物理：凝聚态物理",2 [9/78],,,,,,,,,,
Surface Science Spectra,2025,1055-5269/1520-8575,否,否,否,ESCI,,物理与天体物理,4 [217/406],否," PHYSICS, CONDENSED MATTER 物理：凝聚态物理",3 [42/78],,,,,,,,,,
SURFACE SCIENCE,2025,0039-6028/1879-2758,否,否,否,SCIE,,化学,3 [232/490],否," CHEMISTRY, PHYSICAL 物理化学",4 [65/104]," PHYSICS, CONDENSED MATTER 物理：凝聚态物理",4 [47/78],,,,,,,,
Surface Topography-Metrology and Properties,2025,2051-672X/2051-672X,否,否,否,SCIE,,工程技术,4 [681/1437],否," ENGINEERING, MECHANICAL 工程：机械",4 [91/181], INSTRUMENTS & INSTRUMENTATION 仪器仪表,4 [43/76]," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",4 [274/436],,,,,,
Surfaces and Interfaces,2025,2468-0230/2468-0230,否,否,否,SCIE,,材料科学,3 [121/495],否," MATERIALS SCIENCE, COATINGS & FILMS 材料科学：膜",2 [5/24]," PHYSICS, APPLIED 物理：应用",2 [39/178]," PHYSICS, CONDENSED MATTER 物理：凝聚态物理",2 [20/78],,,,,,
Surfaces,2025,2571-9637/2571-9637,否,否,是,ESCI,,材料科学,4 [237/495],否," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",4 [247/436],,,,,,,,,,
SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND,2025,1479-666X/2405-5840,否,否,否,SCIE,,医学,3 [2156/5603],否, SURGERY 外科,4 [118/292],,,,,,,,,,
Surgery for Obesity and Related Diseases,2025,1550-7289/1878-7533,否,否,否,SCIE,,医学,2 [860/5603],否, SURGERY 外科,2 [48/292],,,,,,,,,,
Surgery in Practice and Science,2025,2666-2620/2666-2620,否,否,是,ESCI,,医学,4 [4472/5603],否, SURGERY 外科,4 [239/292],,,,,,,,,,
Surgery Journal,2025,2378-5128/2378-5136,否,否,是,ESCI,,医学,4 [4055/5603],否, SURGERY 外科,4 [218/292],,,,,,,,,,
Surgery Open Science,2025,2589-8450/2589-8450,否,否,是,ESCI,,医学,4 [2784/5603],否, SURGERY 外科,4 [149/292],,,,,,,,,,
SURGERY TODAY,2025,0941-1291/1436-2813,否,否,否,SCIE,,医学,4 [2616/5603],否, SURGERY 外科,4 [138/292],,,,,,,,,,
SURGERY,2025,0039-6060,否,否,否,SCIE,,医学,2 [761/5603],否, SURGERY 外科,2 [40/292],,,,,,,,,,
SURGICAL AND RADIOLOGIC ANATOMY,2025,0930-1038/1279-8517,否,否,否,SCIE,,医学,4 [2776/5603],否, ANATOMY & MORPHOLOGY 解剖学与形态学,3 [6/22]," RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学",4 [103/206], SURGERY 外科,4 [148/292],,,,,,
Surgical Case Reports,2025,2198-7793/2198-7793,否,否,是,ESCI,,医学,4 [4071/5603],否, SURGERY 外科,4 [220/292],,,,,,,,,,
SURGICAL CLINICS OF NORTH AMERICA,2025,0039-6109/1558-3171,否,否,否,SCIE,,医学,3 [1792/5603],否, SURGERY 外科,3 [99/292],,,,,,,,,,
SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,2025,0930-2794/1432-2218,否,否,否,SCIE,,医学,2 [920/5603],否, SURGERY 外科,2 [50/292],,,,,,,,,,
Surgical Infections,2025,1096-2964/1557-8674,否,否,否,SCIE,,医学,4 [3076/5603],否, INFECTIOUS DISEASES 传染病学,4 [85/134], SURGERY 外科,4 [163/292],,,,,,,,
Surgical Innovation,2025,1553-3506/1553-3514,否,否,否,SCIE,,医学,4 [3715/5603],否, SURGERY 外科,4 [201/292],,,,,,,,,,
SURGICAL LAPAROSCOPY ENDOSCOPY & PERCUTANEOUS TECHNIQUES,2025,1530-4515/1534-4908,否,否,否,SCIE,,医学,4 [3644/5603],否, SURGERY 外科,4 [197/292],,,,,,,,,,
Surgical Oncology Clinics of North America,2025,1055-3207/1558-5042,是,否,否,SCIE,,医学,3 [1503/5603],否, ONCOLOGY 肿瘤学,3 [122/318], SURGERY 外科,3 [82/292],,,,,,,,
SURGICAL ONCOLOGY-OXFORD,2025,0960-7404/1879-3320,否,否,否,SCIE,,医学,3 [1974/5603],否, SURGERY 外科,3 [108/292], ONCOLOGY 肿瘤学,4 [154/318],,,,,,,,
Surgical Practice,2025,1744-1625/1744-1633,否,否,否,ESCI,,医学,4 [5097/5603],否, SURGERY 外科,4 [278/292],,,,,,,,,,
Surgical Techniques Development,2025,2038-9574/2038-9582,否,否,是,ESCI,,医学,4 [5030/5603],否, SURGERY 外科,4 [276/292],,,,,,,,,,
Surgical Technology International-International Developments in Surgery and Surgical Research,2025,1090-3941/1090-3941,否,否,否,ESCI,,医学,4 [5248/5603],否, SURGERY 外科,4 [286/292],,,,,,,,,,
Surveillance & Society,2025,1477-7487/1477-7487,否,否,是,ESCI,,社会学,4 [764/2039],否," SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域",4 [92/263],,,,,,,,,,
Survey Methodology,2025,0714-0045,否,否,否,SSCI;SCIE,,数学,4 [394/815],否," SOCIAL SCIENCES, MATHEMATICAL METHODS 社会科学：数理方法",4 [38/67], STATISTICS & PROBABILITY 统计学与概率论,4 [77/166],,,,,,,,
SURVEY OF OPHTHALMOLOGY,2025,0039-6257/1879-3304,是,否,否,SCIE,,医学,2 [363/5603],否, OPHTHALMOLOGY 眼科学,2 [9/95],,,,,,,,,,
Survey Research Methods,2025,1864-3361/1864-3361,否,否,是,SSCI,,社会学,4 [1248/2039],否," SOCIAL SCIENCES, MATHEMATICAL METHODS 社会科学：数理方法",4 [51/67],,,,,,,,,,
SURVEY REVIEW,2025,0039-6265/1752-2706,否,否,否,SCIE,,地球科学,4 [345/575],否," ENGINEERING, CIVIL 工程：土木",4 [92/180]," GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合",4 [167/258], REMOTE SENSING 遥感,4 [38/61],,,,,,
SURVEYS IN GEOPHYSICS,2025,0169-3298/1573-0956,是,否,否,SCIE,,地球科学,2 [50/575],否, GEOCHEMISTRY & GEOPHYSICS 地球化学与地球物理,2 [10/99],,,,,,,,,,
SURVIVAL,2025,0039-6338/1468-2699,否,否,否,SSCI,,社会学,3 [436/2039],否, INTERNATIONAL RELATIONS 国际关系学,4 [69/165], POLITICAL SCIENCE 政治学,4 [132/317],,,,,,,,
SusMat,2025,2766-8479/2692-4552,否,否,是,SCIE,,材料科学,2 [55/495],否," CHEMISTRY, MULTIDISCIPLINARY 化学：综合",2 [29/230], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,2 [11/91]," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",2 [56/436],,,,,,
Sustainability Accounting Management and Policy Journal,2025,2040-8021/2040-803X,否,否,否,SSCI,,管理学,3 [228/1025],否," BUSINESS, FINANCE 商业：财政与金融",3 [46/231], ENVIRONMENTAL STUDIES 环境研究,3 [47/183], MANAGEMENT 管理学,4 [128/404],,,,,,
Sustainability Science,2025,1862-4065/1862-4057,否,否,否,SCIE,,环境科学与生态学,2 [52/504],否, ENVIRONMENTAL SCIENCES 环境科学,2 [51/357], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,3 [20/91],,,,,,,,
Sustainability-Science Practice and Policy,2025,1548-7733/1548-7733,否,否,是,ESCI,,环境科学与生态学,2 [99/504],否, ENVIRONMENTAL STUDIES 环境研究,3 [59/183], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,3 [31/91],,,,,,,,
Sustainability,2025,2071-1050/2071-1050,否,否,是,SSCI;SCIE,Mega-Journal,环境科学与生态学,3 [181/504],否, ENVIRONMENTAL SCIENCES 环境科学,3 [152/357], ENVIRONMENTAL STUDIES 环境研究,4 [107/183], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,4 [50/91],,,,,,
Sustainable and Resilient Infrastructure,2025,2378-9689/2378-9697,否,否,否,ESCI,,工程技术,3 [480/1437],否," ENGINEERING, CIVIL 工程：土木",3 [64/180],,,,,,,,,,
Sustainable Chemistry and Pharmacy,2025,2352-5541/2352-5541,否,否,否,SCIE,,化学,2 [73/490],是," CHEMISTRY, MULTIDISCIPLINARY 化学：综合",2 [54/230], ENVIRONMENTAL SCIENCES 环境科学,2 [80/357], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,3 [28/91],,,,,,
Sustainable Cities and Society,2025,2210-6707/2210-6715,否,否,否,SCIE,,工程技术,1 [19/1437],是, CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术,1 [4/91], ENERGY & FUELS 能源与燃料,1 [11/171], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,1 [3/91],,,,,,
Sustainable Computing-Informatics & Systems,2025,2210-5379/2210-5387,否,否,否,SCIE,,计算机科学,3 [200/758],否," COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件",3 [20/58]," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",3 [73/249],,,,,,,,
SUSTAINABLE DEVELOPMENT,2025,0968-0802/1099-1719,否,否,否,SSCI,,环境科学与生态学,2 [41/504],否, DEVELOPMENT STUDIES 发展研究,2 [7/63], REGIONAL & URBAN PLANNING 区域与城市规划,2 [9/54], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,3 [17/91],,,,,,
Sustainable Energy & Fuels,2025,2398-4902/2398-4902,否,否,否,SCIE,,材料科学,4 [236/495],否, ENERGY & FUELS 能源与燃料,4 [101/171]," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",4 [246/436],,,,,,,,
Sustainable Energy Grids & Networks,2025,2352-4677/2352-4677,否,否,否,SCIE,,工程技术,2 [242/1437],否, ENERGY & FUELS 能源与燃料,3 [66/171]," ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气",3 [92/352],,,,,,,,
Sustainable Energy Technologies and Assessments,2025,2213-1388/2213-1396,否,否,否,SCIE,,工程技术,2 [177/1437],否, ENERGY & FUELS 能源与燃料,3 [52/171], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,3 [24/91],,,,,,,,
Sustainable Environment Research,2025,2468-2039/2468-2039,否,否,是,SCIE,,环境科学与生态学,3 [154/504],否," ENGINEERING, ENVIRONMENTAL 工程：环境",3 [34/80], ENVIRONMENTAL SCIENCES 环境科学,3 [132/357], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,4 [45/91],,,,,,
Sustainable Environment,2025,2765-8511/2765-8511,否,否,否,ESCI,,环境科学与生态学,4 [340/504],否, ENVIRONMENTAL SCIENCES 环境科学,4 [266/357],,,,,,,,,,
Sustainable Futures,2025,2666-1888/2666-1888,否,否,是,ESCI,,社会学,3 [549/2039],否, ENVIRONMENTAL SCIENCES 环境科学,3 [131/357], OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学,3 [38/106],,,,,,,,
Sustainable Materials and Technologies,2025,2214-9937/2214-9937,否,否,否,SCIE,,材料科学,2 [78/495],否, ENERGY & FUELS 能源与燃料,2 [36/171]," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",2 [75/436], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,3 [21/91],,,,,,
Sustainable Production and Consumption,2025,2352-5509/2352-5509,否,否,否,SSCI;SCIE,,环境科学与生态学,1 [24/504],是, ENVIRONMENTAL STUDIES 环境研究,2 [17/183], GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,2 [10/91],,,,,,,,
Sustainable Water Resources Management,2025,2363-5037/2363-5045,否,否,否,ESCI,,环境科学与生态学,4 [346/504],否, WATER RESOURCES 水资源,4 [84/124],,,,,,,,,,
Suvremena Lingvistika,2025,0586-0296/1847-117X,否,否,是,ESCI,,文学,4 [859/1193],否, LANGUAGE & LINGUISTICS 语言与语言学,4 [307/391],,,,,,,,,,
SVMMA-Revista de Cultures Medievals,2025,2014-7023/2014-7023,否,否,是,ESCI,,历史学,4 [387/778],否, MEDIEVAL & RENAISSANCE STUDIES 中世纪与文艺复兴研究,4 [60/82],,,,,,,,,,
Swarm and Evolutionary Computation,2025,2210-6502/2210-6510,否,否,否,SCIE,,计算机科学,2 [65/758],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",1 [8/143]," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",2 [27/196],,,,,,,,
Swarm Intelligence,2025,1935-3812/1935-3820,否,否,否,SCIE,,计算机科学,4 [539/758],否," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",4 [155/196], ROBOTICS 机器人学,4 [32/47],,,,,,,,
Swiat i Slowo,2025,1731-3317,否,否,否,ESCI,,文学,4 [1015/1193],否," HUMANITIES, MULTIDISCIPLINARY 人文科学",4 [328/406],,,,,,,,,,
Swiss Journal of Geosciences,2025,1661-8726/1661-8734,否,是,是,SCIE,,地球科学,3 [207/575],否," GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合",3 [114/258],,,,,,,,,,
Swiss Journal of Palaeontology,2025,1664-2376/1664-2384,否,是,是,SCIE,,地球科学,2 [112/575],否, PALEONTOLOGY 古生物学,2 [9/57],,,,,,,,,,
SWISS MEDICAL WEEKLY,2025,1424-7860/1424-3997,否,否,是,SCIE,,医学,4 [3121/5603],否," MEDICINE, GENERAL & INTERNAL 医学：内科",4 [96/327],,,,,,,,,,
Swiss Political Science Review,2025,1424-7755/1662-6370,否,否,否,SSCI,,社会学,3 [360/2039],否, POLITICAL SCIENCE 政治学,4 [112/317],,,,,,,,,,
SYDNEY LAW REVIEW,2025,0082-0512/1444-9528,否,否,否,ESCI,,社会学,4 [768/2039],否, LAW 法学,4 [132/427],,,,,,,,,,
SYDOWIA,2025,0082-0598,否,否,否,SCIE,,生物学,4 [841/1091],否, MYCOLOGY 真菌学,4 [30/32],,,,,,,,,,
Sylwan,2025,0039-7660,否,否,否,SCIE,,农林科学,4 [753/904],否, FORESTRY 林学,4 [72/89],,,,,,,,,,
SYMBIOSIS,2025,0334-5114/1878-7665,否,否,否,SCIE,,生物学,4 [668/1091],否, MICROBIOLOGY 微生物学,4 [124/159],,,,,,,,,,
Symbolae Osloenses,2025,0039-7679/1502-7805,否,否,否,AHCI,,历史学,3 [305/778],否, CLASSICS 古典文学,4 [31/59],,,,,,,,,,
SYMBOLIC INTERACTION,2025,0195-6086/1533-8665,否,否,否,SSCI,,社会学,3 [548/2039],否, SOCIOLOGY 社会学,4 [102/216],,,,,,,,,,
Symmetry Integrability and Geometry-Methods and Applications,2025,1815-0659,否,否,是,SCIE,,物理与天体物理,3 [184/406],否, MATHEMATICS 数学,4 [323/487]," PHYSICS, MATHEMATICAL 物理：数学物理",4 [38/60],,,,,,,,
Symmetry-Basel,2025,2073-8994/2073-8994,否,否,是,SCIE,,综合性期刊,3 [31/118],否, MULTIDISCIPLINARY SCIENCES 综合性期刊,3 [35/131],,,,,,,,,,
Symmetry-Culture and Science,2025,0865-4824/2226-1877,否,否,否,ESCI,,数学,4 [742/815],否," MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用",4 [119/136],,,,,,,,,,
Symploke,2025,1069-0697/1534-0627,否,否,否,ESCI,,社会学,4 [999/2039],否, CULTURAL STUDIES 文化研究,4 [46/59],,,,,,,,,,
SYMPOSIUM-A QUARTERLY JOURNAL IN MODERN LITERATURES,2025,0039-7709/1931-0676,否,否,否,AHCI,,文学,4 [590/1193],否, LITERATURE 其他形式的文学,4 [102/199],,,,,,,,,,
Symposium-Canadian Journal of Continental Philosophy,2025,1917-9685/2154-5278,否,否,否,ESCI,,哲学,4 [491/795],否, PHILOSOPHY 哲学,4 [182/328],,,,,,,,,,
SYNAPSE,2025,0887-4476/1098-2396,否,否,否,SCIE,,医学,4 [4249/5603],否, NEUROSCIENCES 神经科学,4 [277/309],,,,,,,,,,
Synergies Mexique,2025,2007-4654/2260-8109,否,否,是,ESCI,,文学,4 [1046/1193],否, LANGUAGE & LINGUISTICS 语言与语言学,4 [359/391],,,,,,,,,,
Synesis,2025,1678-6785/1984-6754,否,否,否,ESCI,,哲学,4 [624/795],否, PHILOSOPHY 哲学,4 [242/328],,,,,,,,,,
SYNLETT,2025,0936-5214/1437-2096,否,否,否,SCIE,,化学,4 [311/490],否," CHEMISTRY, ORGANIC 有机化学",4 [34/57],,,,,,,,,,
SynOpen,2025,2509-9396/2509-9396,否,否,是,ESCI,,化学,4 [296/490],否," CHEMISTRY, ORGANIC 有机化学",4 [30/57],,,,,,,,,,
Syntax-A Journal of Theoretical Experimental and Interdisciplinary Research,2025,1368-0005/1467-9612,否,否,否,SSCI;AHCI,,文学,1 [63/1193],是, LANGUAGE & LINGUISTICS 语言与语言学,2 [26/391], LINGUISTICS 语言学,2 [41/294],,,,,,,,
SYNTHESE,2025,0039-7857/1573-0964,否,否,否,SSCI;AHCISCIE,,哲学,2 [48/795],是, HISTORY & PHILOSOPHY OF SCIENCE 科学史与科学哲学,2 [13/105], PHILOSOPHY 哲学,2 [23/328],,,,,,,,
Synthesis Philosophica,2025,0352-7875,否,否,是,AHCI,,哲学,4 [592/795],否, PHILOSOPHY 哲学,4 [222/328],,,,,,,,,,
Synthesis-La Plata,2025,0328-1205/1851-779X,否,否,是,AHCI,,历史学,4 [416/778],否, CLASSICS 古典文学,4 [45/59],,,,,,,,,,
SYNTHESIS-STUTTGART,2025,0039-7881/1437-210X,否,否,否,SCIE,,化学,4 [330/490],否," CHEMISTRY, ORGANIC 有机化学",4 [38/57],,,,,,,,,,
Synthetic and Systems Biotechnology,2025,2405-805X/2405-805X,否,是,是,SCIE,中国SCI期刊支持计划,生物学,1 [101/1091],是, BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物,1 [16/174],,,,,,,,,,
Synthetic Biology,2025,2397-7000/2397-7000,否,否,是,SCIE,,生物学,4 [724/1091],否, BIOCHEMICAL RESEARCH METHODS 生化研究方法,4 [65/85], BIOLOGY 生物学,4 [65/109], BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物,4 [129/174],,,,,,
SYNTHETIC COMMUNICATIONS,2025,0039-7911/1532-2432,否,否,否,SCIE,,化学,4 [268/490],否," CHEMISTRY, ORGANIC 有机化学",3 [24/57],,,,,,,,,,
SYNTHETIC METALS,2025,0379-6779/0379-6779,否,否,否,SCIE,,材料科学,3 [210/495],否," PHYSICS, CONDENSED MATTER 物理：凝聚态物理",3 [35/78], POLYMER SCIENCE 高分子科学,3 [37/94]," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",4 [219/436],,,,,,
SYSTEM DYNAMICS REVIEW,2025,0883-7066/1099-1727,否,否,否,SSCI,,管理学,4 [526/1025],否, MANAGEMENT 管理学,4 [238/404]," SOCIAL SCIENCES, MATHEMATICAL METHODS 社会科学：数理方法",4 [32/67],,,,,,,,
SYSTEM,2025,0346-251X/1879-3282,否,否,否,SSCI,,文学,1 [16/1193],是, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,1 [18/754], LINGUISTICS 语言学,1 [11/294],,,,,,,,
SYSTEMATIC AND APPLIED ACAROLOGY,2025,1362-1971/2056-6069,否,否,否,SCIE,,农林科学,3 [225/904],否, ENTOMOLOGY 昆虫学,3 [29/109],,,,,,,,,,
SYSTEMATIC AND APPLIED MICROBIOLOGY,2025,0723-2020/1618-0984,否,否,否,SCIE,,生物学,2 [171/1091],否, BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物,2 [21/174], MICROBIOLOGY 微生物学,2 [42/159],,,,,,,,
Systematic Biology,2025,1063-5157/1076-836X,否,否,否,SCIE,,生物学,1 [50/1091],是, EVOLUTIONARY BIOLOGY 进化生物学,1 [5/52],,,,,,,,,,
SYSTEMATIC BOTANY,2025,0363-6445/1548-2324,否,否,否,SCIE,,生物学,4 [540/1091],否, PLANT SCIENCES 植物科学,3 [120/265], EVOLUTIONARY BIOLOGY 进化生物学,4 [44/52],,,,,,,,
SYSTEMATIC ENTOMOLOGY,2025,0307-6970/1365-3113,否,否,否,SCIE,,农林科学,1 [5/904],是, ENTOMOLOGY 昆虫学,1 [2/109], EVOLUTIONARY BIOLOGY 进化生物学,1 [4/52],,,,,,,,
SYSTEMATIC PARASITOLOGY,2025,0165-5752/1573-5192,否,否,否,SCIE,,医学,4 [2903/5603],否, PARASITOLOGY 寄生虫学,4 [28/45],,,,,,,,,,
Systematic Reviews,2025,2046-4053/2046-4053,是,否,是,SCIE,,医学,3 [1785/5603],否," MEDICINE, GENERAL & INTERNAL 医学：内科",3 [59/327],,,,,,,,,,
SYSTEMATICS AND BIODIVERSITY,2025,1477-2000/1478-0933,否,否,否,SCIE,,环境科学与生态学,3 [130/504],否, BIODIVERSITY CONSERVATION 生物多样性保护,3 [23/75],,,,,,,,,,
SYSTEMIC PRACTICE AND ACTION RESEARCH,2025,1094-429X/1573-9295,否,否,否,SSCI,,管理学,4 [674/1025],否, MANAGEMENT 管理学,4 [290/404],,,,,,,,,,
SYSTEMS & CONTROL LETTERS,2025,0167-6911/1872-7956,否,否,否,SCIE,,计算机科学,3 [294/758],否, AUTOMATION & CONTROL SYSTEMS 自动化与控制系统,3 [31/83], OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学,3 [43/106],,,,,,,,
Systems Biology in Reproductive Medicine,2025,1939-6368/1939-6376,否,否,否,SCIE,,医学,4 [3788/5603],否, ANDROLOGY 男科学,4 [7/8], REPRODUCTIVE BIOLOGY 生殖生物学,4 [33/39],,,,,,,,
Systems Engineering,2025,1098-1241/1520-6858,否,否,否,SCIE,,工程技术,3 [431/1437],否, OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学,3 [46/106]," ENGINEERING, INDUSTRIAL 工程：工业",4 [38/70],,,,,,,,
Systems Microbiology and Biomanufacturing,2025,2662-7655/2662-7663,否,否,否,ESCI,中国SCI期刊支持计划,工程技术,4 [1434/1437],否, Biotechnology & Applied Microbiology 生物工程与应用微生物,4 [174/174],,,,,,,,,,
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,2025,1092-7026/1099-1743,否,否,否,SSCI,,管理学,4 [490/1025],否, MANAGEMENT 管理学,4 [230/404]," SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域",4 [93/263],,,,,,,,
Systems Science & Control Engineering,2025,2164-2583/2164-2583,否,否,是,ESCI,,计算机科学,4 [515/758],否, AUTOMATION & CONTROL SYSTEMS 自动化与控制系统,4 [56/83],,,,,,,,,,
Systems,2025,2079-8954/2079-8954,否,否,是,SSCI,,社会学,4 [772/2039],否," SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域",4 [95/263],,,,,,,,,,
Sztuka i Dokumentacja-Art & Documentation,2025,2080-413X/2080-413X,否,否,是,ESCI,,艺术学,4 [258/484],否, ART 艺术,4 [75/144],,,,,,,,,,
Taida Journal of Art History,2025,1023-2095,否,否,否,AHCI,,艺术学,3 [133/484],否, ART 艺术,3 [34/144],,,,,,,,,,
Taiwan Journal of East Asian Studies,2025,1812-6243/1812-6243,否,否,否,ESCI,,社会学,4 [1396/2039],否, ASIAN STUDIES 亚洲研究,4 [93/102],,,,,,,,,,
Taiwan Journal of Linguistics,2025,1729-4649/1994-2559,否,否,是,ESCI,,文学,3 [346/1193],否, LANGUAGE & LINGUISTICS 语言与语言学,4 [152/391],,,,,,,,,,
Taiwan Journal of Ophthalmology,2025,2211-5056/2211-5072,否,否,是,ESCI,,医学,4 [4461/5603],否, OPHTHALMOLOGY 眼科学,4 [77/95],,,,,,,,,,
Taiwan Journal of TESOL,2025,1814-9448/2076-7617,否,否,否,ESCI,,教育学,4 [478/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [441/754],,,,,,,,,,
TAIWANESE JOURNAL OF MATHEMATICS,2025,1027-5487/2224-6851,否,否,否,SCIE,,数学,4 [516/815],否, MATHEMATICS 数学,4 [330/487],,,,,,,,,,
