期刊缩写,Journal,JCR分区,2019年文章数,出版国家,出版周期
Criminol Crim Justic,Criminology & Criminal Justice,Q2,34,,
Rev Bras Frutic,Revista Brasileira de Fruticultura,Q4,93,巴西,季刊
Stoch Dynam,Stochastics and Dynamics,Q3,48,新加坡,季刊
Rehabil Couns Bull,Rehabilitation Counseling Bulletin,Q3,21,,
Int J Cardiol,International Journal of Cardiology,Q2,670,爱尔兰,双月刊
Trames-J Humanit Soc,Trames-Journal of the Humanities and Social Sciences,Q4,29,,
Rev Ecol-Terre Vie,Revue D Ecologie-la Terre et la Vie,Q4,0,法国,季刊
IEEE T Med Imaging,IEEE Transactions on Medical Imaging,Q1,262,美国,月刊
Isl Stud J,Island Studies Journal,Q3/Q4,25,,
Nat Rev Dis Primers,Nature Reviews Disease Primers,Q1,39,,
Contemp Eur Hist,Contemporary European History,Q3,25,,
Am Behav Sci,American Behavioral Scientist,Q2/Q3,95,,
Curr Opin Genet Dev,Current Opinion in Genetics & Development,Q1/Q2,71,美国,双月刊
Lith J Phys,Lithuanian Journal of Physics,Q3,24,立陶宛,季刊
Public Relat Rev,Public Relations Review,Q2/Q3,92,,
Brit J Polit Int Rel,British Journal of Politics & International Relations,Q1,33,,
IET Nanobiotechnol,IET Nanobiotechnology,Q3/Q4,143,英国,双月刊
Int J Sust Higher Ed,International Journal of Sustainability in Higher Education,Q2/Q4,78,,
Nephron,Nephron,Q3,110,瑞士,
Prog Theor Exp Phys,Progress of Theoretical and Experimental Physics,Q2/Q3,145,英国,
Int J Strateg Prop M,International Journal of Strategic Property Management,Q4,33,,
J Hand Ther,Journal of Hand Therapy,Q3,59,美国,季刊
Radiat Oncol,Radiation Oncology,Q2/Q3,242,英国,不定期
Jpn J Clin Oncol,Japanese Journal of Clinical Oncology,Q4,160,日本,月刊
Opt Commun,Optics Communications,Q3,987,荷兰,双月刊
Prog Transplant,Progress in Transplantation,Q4,61,美国,季刊
Geol Q,Geological Quarterly,Q3,58,波兰,季刊
Data Min Knowl Disc,Data Mining and Knowledge Discovery,Q2,58,荷兰,双月刊
Curr Cardiol Rep,Current Cardiology Reports,Q2,153,美国,
Int J Crashworthines,International Journal of Crashworthiness,Q3/Q4,53,英国,双月刊
World J Emerg Med,World Journal of Emergency Medicine,Q2,28,,
Taxon,Taxon,Q1/Q2,62,奥地利,季刊
J Symb Comput,Journal of Symbolic Computation,Q4,85,英国,月刊
Gut Microbes,Gut Microbes,Q1,56,,
Laterality,Laterality,Q3/Q4,37,,
Ann Microbiol,Annals of Microbiology,Q4,138,意大利,季刊
Exp Brain Res,Experimental Brain Research,Q4,290,德国,
J Inf Secur Appl,Journal of Information Security and Applications,Q3,140,,
Public Health Genom,Public Health Genomics,Q3/Q4,13,瑞士,双月刊
Annu Rev Pharmacol,Annual Review of Pharmacology and Toxicology,Q1,29,美国,年刊
Nonlin Dynam Psychol,Nonlinear Dynamics Psychology and Life Sciences,Q4,22,,
J Oral Pathol Med,Journal of Oral Pathology & Medicine,Q1/Q2,124,丹麦,月刊
J Intern Med,Journal of Internal Medicine,Q1,99,英国,月刊
J Mycol Med,Journal de Mycologie Medicale,Q4,60,法国,季刊
Annu Rev Anal Chem,Annual Review of Analytical Chemistry,Q1,24,美国,年刊
Eur J Soil Biol,European Journal of Soil Biology,Q2,46,法国,季刊
Transport Res A-Pol,Transportation Research Part A-Policy and Practice,Q1/Q2,231,英国,月刊
Photonic Sens,Photonic Sensors,Q2/Q3,44,,
J Early Intervention,Journal of Early Intervention,Q3/Q4,21,,
JNP-J Nurse Pract,JNP-Journal for Nurse Practitioners,Q4,156,美国,
BMC Sports Sci Med R,BMC Sports Science Medicine and Rehabilitation,Q2/Q3,38,,
Nat Immunol,Nature Immunology,Q1,133,美国,月刊
Adapt Phys Act Q,Adapted Physical Activity Quarterly,Q3/Q4,29,美国,季刊
J Clin Med,Journal of Clinical Medicine,Q1,2181,,
Neural Netw World,Neural Network World,Q4,26,捷克共和国,双月刊
IEEE Geosci Remote S,IEEE Geoscience and Remote Sensing Letters,Q1/Q2,385,美国,季刊
J Tribol-T Asme,Journal of Tribology-Transactions of the Asme,Q3,153,美国,季刊
J Texture Stud,Journal of Texture Studies,Q3,51,美国,双月刊
Peer Peer Netw Appl,Peer-to-Peer Networking and Applications,Q2,128,美国,
Dynam Atmos Oceans,Dynamics of Atmospheres and Oceans,Q3/Q4,36,荷兰,季刊
Neurol Sci,Neurological Sciences,Q3,324,意大利,双月刊
Ann Noninvas Electro,Annals of Noninvasive Electrocardiology,Q4,89,美国,季刊
J Exp Psychol-Anim L,Journal of Experimental Psychology-Animal Learning and Cognition,Q2/Q3/Q4,34,美国,
Geogr Rev,Geographical Review,Q3,31,,
Mil Med,Military Medicine,Q3,331,美国,月刊
Asian Women,Asian Women,Q4,22,,
Int J Pres Ves Pip,International Journal of Pressure Vessels and Piping,Q2,180,英国,月刊
Neurobiol Stress,Neurobiology of Stress,Q1,56,,
J Meteorol Res-Prc,Journal of Meteorological Research,Q3,85,中国,
Contemp Se Asia,Contemporary Southeast Asia,Q3/Q4,21,,
Mar Freshw Behav Phy,Marine and Freshwater Behaviour and Physiology,Q4,18,英国,季刊
Environ Microbiome,Environmental Microbiome,Q4,7,,
Front Plant Sci,Frontiers in Plant Science,Q1,1663,瑞士,
Phys Med Rehab Kuror,Physikalische Medizin Rehabilitationsmedizin Kurortmedizin,Q4,33,德国,双月刊
Comp Biochem Phys C,Comparative Biochemistry and Physiology C-Toxicology & Pharmacology,Q1/Q2/Q3,155,美国,月刊
J Biotechnol,Journal of Biotechnology,Q2,220,荷兰,半月刊
J Transp Econ Policy,Journal of Transport Economics and Policy,Q3/Q4,17,,
EPJ Quantum Technol,EPJ Quantum Technology,Q2,6,,
Mitochondrial DNA B,Mitochondrial DNA Part B-Resources,Q4,1912,,
Pap Palaeontol,Papers in Palaeontology,Q1,33,英国,
J Hist Behav Sci,Journal of the History of the Behavioral Sciences,Q4,15,,
Inform Visual,Information Visualization,Q3,26,英国,季刊
Mycoscience,Mycoscience,Q4,55,日本,季刊
Annu Rev Organ Psych,Annual Review of Organizational Psychology and Organizational Behavior,Q1,18,,
J Mol Liq,Journal of Molecular Liquids,Q1/Q2,1959,荷兰,月刊
Brq-Bus Res Q,Brq-Business Research Quarterly,Q2,20,,
Weather,Weather,Q4,48,英国,月刊
Klin Neurophysiol,Klinische Neurophysiologie,Q4,18,德国,季刊
Transp Geotech,Transportation Geotechnics,Q2/Q3,83,,
Curr Opin Clin Nutr,Current Opinion in Clinical Nutrition and Metabolic Care,Q2,66,美国,双月刊
Rubber Chem Technol,Rubber Chemistry and Technology,Q3,45,美国,双月刊
Comp Polit,Comparative Politics,Q2,31,,
Pers Med,Personalized Medicine,Q3,40,英国,季刊
J Stored Prod Res,Journal of Stored Products Research,Q1,110,英国,季刊
Sustain Sci,Sustainability Science,Q1/Q2,114,日本,半年刊
Biomed Opt Express,Biomedical Optics Express,Q1,464,美国,
Microsc Res Techniq,Microscopy Research and Technique,Q1/Q2,218,美国,双月刊
Neurophotonics,Neurophotonics,Q2/Q3,62,,
Int J Equity Health,International Journal for Equity in Health,Q1,199,,
Filtr Separat,Filtration & Separation,Q4,32,英国,月刊
Q J Polit Sci,Quarterly Journal of Political Science,Q3,16,,
Allergol Immunopath,Allergologia et Immunopathologia,Q4,81,西班牙,双月刊
Sociol Health Ill,Sociology of Health & Illness,Q1/Q2,111,,
J Endovasc Ther,Journal of Endovascular Therapy,Q1/Q2,94,美国,双月刊
J Econ Issues,Journal of Economic Issues,Q4,76,,
Eur J Dent Educ,European Journal of Dental Education,Q3/Q4,70,美国,季刊
IEEE T Ind Inform,IEEE Transactions on Industrial Informatics,Q1,605,美国,季刊
J Gemmol,Journal of Gemmology,Q4,17,,
Local Gov Stud,Local Government Studies,Q2/Q3,43,,
Photosynth Res,Photosynthesis Research,Q1,116,荷兰,月刊
BMC Med Ethics,BMC Medical Ethics,Q1,100,英国,不定期
Mater Res Lett,Materials Research Letters,Q1,66,,
J Food Sci,Journal of Food Science,Q2,362,美国,月刊
J Ethn Migr Stud,Journal of Ethnic and Migration Studies,Q1,177,,
Psychol Sci Publ Int,Psychological Science in the Public Interest,Q1,3,,
Appl Rheol,Applied Rheology,Q4,17,德国,双月刊
J Innov Knowl,Journal of Innovation & Knowledge,Q1,34,,
Res Sci Technol Educ,Research in Science & Technological Education,Q3,24,,
Rev Iberoam Diagn Ev,Revista Iberoamericana de Diagnostico Y Evaluacion-E Avaliacao Psicologica,Q4,57,,
Cryst Res Technol,Crystal Research and Technology,Q3,61,德国,月刊
Inform Comput,Information and Computation,Q3,51,美国,月刊
Cancer Cause Control,Cancer Causes & Control,Q2/Q3,132,荷兰,月刊
B Seismol Soc Am,Bulletin of the Seismological Society of America,Q2,192,美国,双月刊
Comput Vis Image Und,Computer Vision and Image Understanding,Q2,82,美国,月刊
Biol Philos,Biology & Philosophy,Q2,62,荷兰,双月刊
Nat Rev Neurosci,Nature Reviews Neuroscience,Q1,50,英国,
Int Regional Sci Rev,International Regional Science Review,Q2/Q3,19,,
Health Affair,Health Affairs,Q1,235,美国,双月刊
J Sch Nurs,Journal of School Nursing,Q2,41,美国,双月刊
Adv Geom,Advances in Geometry,Q3,42,德国,季刊
Semiconductors+,Semiconductors,Q4,394,俄国,月刊
Eur J Forest Res,European Journal of Forest Research,Q1,77,美国,双月刊
Afr Stud Rev,African Studies Review,Q2,22,,
Histopathology,Histopathology,Q1/Q3,182,英国,月刊
Coatingstech,Coatingstech,Q4,26,,
J Mol Model,Journal of Molecular Modeling,Q3/Q4,367,德国,不定期
Synapse,Synapse,Q3,37,美国,月刊
J Appl Econ,Journal of Applied Economics,Q4,27,,
J Vinyl Addit Techn,Journal of Vinyl & Additive Technology,Q2/Q3,65,美国,季刊
Lang Resour Eval,Language Resources and Evaluation,Q4,31,荷兰,季刊
Disp,Disp,Q4,23,,
Pulp Pap-Canada,Pulp & Paper-Canada,Q4,12,,
Afr Journal Stud,African Journalism Studies,Q4,7,,
Hum Perform,Human Performance,Q4,12,,
J Am Soc Nephrol,Journal of the American Society of Nephrology,Q1,173,美国,月刊
Singap Econ Rev,Singapore Economic Review,Q4,63,,
IEEE ACM T Network,IEEE-ACM Transactions on Networking,Q1/Q2,175,美国,双月刊
Trends Genet,Trends in Genetics,Q1,72,荷兰,月刊
Front Phys-Beijing,Frontiers of Physics,Q2,69,中国,
Aust Nz J Psychiat,Australian and New Zealand Journal of Psychiatry,Q1,82,英国,月刊
Korea-Aust Rheol J,Korea-Australia Rheology Journal,Q3,27,韩国,季刊
Curr Oncol Rep,Current Oncology Reports,Q2,111,美国,
Biodrugs,Biodrugs,Q1,55,新西兰,双月刊
Engl Educ-UK,English in Education,Q4,21,,
Mining Metall Explor,Mining Metallurgy & Exploration,Q4,109,,
P I Mech Eng C-J Mec,Proceedings of the Institution of Mechanical Engineers Part C-Journal of Mechanical Engineering Science,Q3,554,,
J Nutr,Journal of Nutrition,Q1,244,美国,月刊
Int J Osteoarchaeol,International Journal of Osteoarchaeology,Q2,106,,
Clin Immunol,Clinical Immunology,Q2,132,美国,月刊
Race Soc Probl,Race and Social Problems,Q3,24,,
Adv Opt Mater,Advanced Optical Materials,Q1,523,德国,
Energy Strateg Rev,Energy Strategy Reviews,Q2,111,,
Transl Res,Translational Research,Q1,96,美国,月刊
Digest Liver Dis,Digestive and Liver Disease,Q2,229,ITALY,月刊
Adv Exp Soc Psychol,Advances in Experimental Social Psychology,Q1,5,,
ATLA-Altern Lab Anim,ATLA-Alternatives to Laboratory Animals,Q4,13,英国,双月刊
Bol Inst Pesca,Boletim Do Instituto de Pesca,Q4,60,巴西,半年刊
Comput Meth Prog Bio,Computer Methods and Programs in Biomedicine,Q1/Q2,247,荷兰,月刊
Requir Eng,Requirements Engineering,Q2/Q3,22,美国,季刊
Stud Symb Interact,Studies in Symbolic Interaction,Q4,12,,
Mech Time-Depend Mat,Mechanics of Time-Dependent Materials,Q2/Q3,28,荷兰,季刊
Funct Lang,Functions of Language,Q3,15,,
Entomol News,Entomological News,Q4,53,美国,双月刊
Veh Commun,Vehicular Communications,Q1,29,,
JARO-J Assoc Res Oto,JARO-Journal of the Association for Research in Otolaryngology,Q1/Q3,37,美国,季刊
Turk J Vet Anim Sci,Turkish Journal of Veterinary & Animal Sciences,Q4,107,土耳其,双月刊
Int J Lab Hematol,International Journal of Laboratory Hematology,Q3,120,英国,双月刊
J Earthq Tsunami,Journal of Earthquake and Tsunami,Q4,25,新加坡,季刊
Indiana Law J,Indiana Law Journal,Q2,36,,
Nanoscale Res Lett,Nanoscale Research Letters,Q1/Q2,388,美国,
Ann Vasc Surg,Annals of Vascular Surgery,Q4,533,美国,双月刊
Int J Sport Psychol,International Journal of Sport Psychology,Q4,30,意大利,季刊
Global Planet Change,Global and Planetary Change,Q1,182,荷兰,月刊
J Contin Educ Nurs,Journal of Continuing Education in Nursing,Q4,81,美国,
Geochem Int+,Geochemistry International,Q4,115,俄国,月刊
Acta Mech,Acta Mechanica,Q3,252,奥地利,月刊
Arch Dis Childhood-E,Archives of Disease in Childhood-Education and Practice Edition,Q3,40,美国,双月刊
Acta Astronaut,Acta Astronautica,Q1,597,美国,双月刊
Atherosclerosis Supp,Atherosclerosis Supplements,Q1,30,爱尔兰,双月刊
J Phys B-At Mol Opt,Journal of Physics B-Atomic Molecular and Optical Physics,Q3,296,英国,双月刊
Appl Math Mech-Engl,Applied Mathematics and Mechanics-English Edition,Q1/Q3,119,中国,月刊
J Mamm Evol,Journal of Mammalian Evolution,Q1,36,美国,季刊
Hematology,Hematology,Q4,95,英国,双月刊
Communis Post-Commun,Communist and Post-Communist Studies,Q3,33,,
Can Assoc Radiol J,Canadian Association of Radiologists Journal-Journal de L Association Canadienne Des Radiologistes,Q3,58,加拿大,双月刊
Sport Soc,Sport in Society,Q3/Q4,130,,
Collabra-Psychol,Collabra-Psychology,Q2,54,,
Cognitive Ther Res,Cognitive Therapy and Research,Q2,95,,
Am J Surg,American Journal of Surgery,Q2,385,美国,月刊
Asian Herpetol Res,Asian Herpetological Research,Q3,26,中国,
Health Policy Plann,Health Policy and Planning,Q1/Q2,99,英国,季刊
Appl Spectrosc,Applied Spectroscopy,Q2,120,美国,月刊
Forum Math Sigma,Forum of Mathematics Sigma,Q1/Q2,42,,
Acta Geotech Slov,Acta Geotechnica Slovenica,Q4,14,斯洛文尼亚,半年刊
Magn Reson Chem,Magnetic Resonance in Chemistry,Q2/Q3,92,英国,月刊
J Clin Res Pediatr E,Journal of Clinical Research in Pediatric Endocrinology,Q2/Q4,60,土耳其,季刊
Radio Sci,Radio Science,Q3/Q4,74,美国,双月刊
Landslides,Landslides,Q1,170,德国,季刊
Tourist Stud,Tourist Studies,Q4,27,,
Plant Sci,Plant Science,Q1/Q2,293,爱尔兰,双月刊
J Rubber Res,Journal of Rubber Research,Q4,20,马来西亚,季刊
Appl Organomet Chem,Applied Organometallic Chemistry,Q1/Q2,621,英国,月刊
Food Biotechnol,Food Biotechnology,Q4,19,美国,三年刊
J Obstet Gynaecol Re,Journal of Obstetrics and Gynaecology Research,Q4,311,澳大利亚,双月刊
Fam Med,Family Medicine,Q3,89,美国,月刊
Am Anthropol,American Anthropologist,Q1,54,,
Cust Agronegocio,Custos E Agronegocio on Line,Q4,105,,三年刊
Labour-Travail,Labour-Le Travail,Q3/Q4,19,,
Exp Cell Res,Experimental Cell Research,Q2/Q3,366,美国,双月刊
Minerva Biotecnol,Minerva Biotecnologica,Q4,16,意大利,季刊
Acta Agr Scand B-S P,Acta Agriculturae Scandinavica Section B-Soil and Plant Science,Q3/Q4,80,挪威,双月刊
Int J Ment Health Ad,International Journal of Mental Health and Addiction,Q3/Q4,106,美国,
Catena,Catena,Q1,521,德国,月刊
J Simul,Journal of Simulation,Q3/Q4,21,英国,
Financ Res Lett,Finance Research Letters,Q1,240,,
J Craniofac Surg,Journal of Craniofacial Surgery,Q4,876,美国,双月刊
Curr Dir Psychol Sci,Current Directions in Psychological Science,Q1,91,,
Biomark Res,Biomarker Research,Q1/Q2,26,,
J Reprod Immunol,Journal of Reproductive Immunology,Q1/Q2,40,荷兰,双月刊
Cienc Saude Coletiva,Ciencia & Saude Coletiva,Q4,418,,
Int J Climatol,International Journal of Climatology,Q1,386,英国,月刊
P I Civil Eng-Energy,Proceedings of the Institution of Civil Engineers-Energy,Q4,15,英国,
Microbes Infect,Microbes and Infection,Q3,58,法国,月刊
Zoosyst Evol,Zoosystematics and Evolution,Q3,26,保加利亚,
Camb Law J,Cambridge Law Journal,Q2,17,,
J Atheroscler Thromb,Journal of Atherosclerosis and Thrombosis,Q2,94,日本,双月刊
Fund Appl Limnol,Fundamental and Applied Limnology,Q3/Q4,26,德国,月刊
Pesqui Vet Brasil,Pesquisa Veterinaria Brasileira,Q4,139,巴西,月刊
Apidologie,Apidologie,Q2,78,法国,双月刊
World J Surg Oncol,World Journal of Surgical Oncology,Q2/Q4,224,英国,不定期
IEEE Microw Mag,IEEE Microwave Magazine,Q2,54,美国,季刊
Adv Math,Advances in Mathematics,Q1,393,美国,双月刊
Polym Eng Sci,Polymer Engineering and Science,Q2/Q3,369,美国,月刊
Mater Horiz,Materials Horizons,Q1,193,英国,
Ber Landwirtsch,Berichte Uber Landwirtschaft,Q4,24,德国,
Child Adol Ment H-UK,Child and Adolescent Mental Health,Q2/Q3,36,英国,
Grassl Sci,Grassland Science,Q3,31,,季刊
J Theor Biol,Journal of Theoretical Biology,Q2,355,美国,双月刊
Iceland Agr Sci,Icelandic Agricultural Sciences,Q4,5,冰岛,年刊
Nova Hedwigia,Nova Hedwigia,Q3,67,德国,季刊
Int J Commun-US,International Journal of Communication,Q4,276,,
Open Med-Warsaw,Open Medicine,Q3,108,,
Ironmak Steelmak,Ironmaking & Steelmaking,Q3,105,英国,双月刊
Ann Roy Coll Surg,Annals of the Royal College of Surgeons of England,Q4,134,,
J Global Optim,Journal of Global Optimization,Q1/Q3,120,荷兰,月刊
J Mod Ital Stud,Journal of Modern Italian Studies,Q2,28,,
Econ Model,Economic Modelling,Q2,201,,
Health Policy Techn,Health Policy and Technology,Q4,49,,
Health Place,Health & Place,Q1,165,美国,
Nat Prod Commun,Natural Product Communications,Q4,351,美国,月刊
Commun Pur Appl Math,Communications on Pure and Applied Mathematics,Q1,54,美国,月刊
Crit Rev Cl Lab Sci,Critical Reviews in Clinical Laboratory Sciences,Q1,33,美国,双月刊
Electr Pow Syst Res,Electric Power Systems Research,Q2,366,瑞士,月刊
Optik,Optik,Q2,1811,,
Iran J Radiol,Iranian Journal of Radiology,Q4,76,伊朗,季刊
High Perform Polym,High Performance Polymers,Q3,124,英国,双月刊
Urol J,Urology Journal,Q4,116,伊朗,季刊
Int J Min Met Mater,International Journal of Minerals Metallurgy and Materials,Q2/Q3,168,中国,双月刊
Centaurus,Centaurus,Q4,7,英国,
J Elasticity,Journal of Elasticity,Q2/Q3,44,荷兰,月刊
J Evid-Based Psychot,Journal of Evidence-Based Psychotherapies,Q4,9,,
J Histochem Cytochem,Journal of Histochemistry & Cytochemistry,Q4,61,美国,月刊
J Environ Dev,Journal of Environment & Development,Q2/Q3,16,,
Biomol NMR Assign,Biomolecular NMR Assignments,Q4,70,美国,半年刊
J Archaeol Method Th,Journal of Archaeological Method and Theory,Q1,49,,
J Dev Stud,Journal of Development Studies,Q2/Q3,150,,
J Atmos Ocean Tech,Journal of Atmospheric and Oceanic Technology,Q2/Q3,151,美国,月刊
Sci Bull,Science Bulletin,Q1,172,中国,
Drug Des Dev Ther,Drug Design Development and Therapy,Q2,371,英国,
Mech Based Des Struc,Mechanics Based Design of Structures and Machines,Q2,44,美国,季刊
Aust Soc Work,Australian Social Work,Q2,35,,
Interact Comput,Interacting With Computers,Q4,32,荷兰,双月刊
Environ Educ Res,Environmental Education Research,Q1/Q3,99,,
J Neurotraum,Journal of Neurotrauma,Q2,224,美国,月刊
B Hist Med,Bulletin of the History of Medicine,Q2/Q3/Q4,16,美国,季刊
J Copyright Soc USA,Journal of the Copyright Society of the USA,Q4,8,,
Int J Multiscale Com,International Journal for Multiscale Computational Engineering,Q3,28,美国,双月刊
Science,Science,Q1,774,美国,周刊
GM Crops Food,GM Crops & Food-Biotechnology in Agriculture and the Food Chain,Q1/Q2,9,,
Mol Pharmaceut,Molecular Pharmaceutics,Q1/Q2,483,美国,双月刊
Arthritis Res Ther,Arthritis Research & Therapy,Q1,279,英国,
Empir Softw Eng,Empirical Software Engineering,Q1,107,荷兰,季刊
IEEE T Hum-Mach Syst,IEEE Transactions on Human-Machine Systems,Q2,64,美国,
Inland Water Biol,Inland Water Biology,Q4,90,俄国,季刊
Clin Psychopharm Neu,Clinical Psychopharmacology and Neuroscience,Q3,62,韩国,
J Nanobiotechnol,Journal of Nanobiotechnology,Q1/Q2,119,英国,
J Feline Med Surg,Journal of Feline Medicine and Surgery,Q2,128,英国,双月刊
Comparative Med,Comparative Medicine,Q3,52,美国,双月刊
ESAIM-Math Model Num,ESAIM-Mathematical Modelling and Numerical Analysis-Modelisation Mathematique et Analyse Numerique,Q2,90,法国,双月刊
Bioscience Rep,Bioscience Reports,Q3,808,美国,双月刊
Genes Genom,Genes & Genomics,Q4,137,韩国,双月刊
Publ Res I Math Sci,Publications of the Research Institute for Mathematical Sciences,Q2,27,日本,季刊
Brief Bioinform,Briefings in Bioinformatics,Q1,181,英国,双月刊
Z Psychol,Zeitschrift Fur Psychologie-Journal of Psychology,Q2,28,,
Braz J Psychiat,Brazilian Journal of Psychiatry,Q4,63,,
J Appl Biomed,Journal of Applied Biomedicine,Q4,28,捷克共和国,季刊
J Matern-Fetal Neo M,Journal of Maternal-Fetal & Neonatal Medicine,Q3,609,英国,月刊
Mol Carcinogen,Molecular Carcinogenesis,Q2,196,美国,月刊
Physica E,Physica E-Low-Dimensional Systems & Nanostructures,Q2,401,荷兰,月刊
Rev Esp Linguist Apl,Revista Espanola de Linguistica Aplicada,Q4,23,,
Int J Prod Res,International Journal of Production Research,Q1,389,英国,双月刊
Int J Hypertens,International Journal of Hypertension,Q4,47,,
J Mod Power Syst Cle,Journal of Modern Power Systems and Clean Energy,Q2,147,中国,
J Pediatr Orthoped,Journal of Pediatric Orthopaedics,Q2/Q3,246,美国,双月刊
Biopharm Drug Dispos,Biopharmaceutics & Drug Disposition,Q4,30,英国,月刊
Adv Nano Res,Advances in Nano Research,Q2,36,,
Cancer Metab,Cancer & Metabolism,Q1/Q2,12,英国,月刊
Decis Support Syst,Decision Support Systems,Q1,113,荷兰,月刊
Autism,Autism,Q1,183,,
Adv Compos Mater,Advanced Composite Materials,Q3,50,荷兰,季刊
Women Ther,Women & Therapy,Q4,27,,
Rev Hist Econ,Revista de Historia Economica,Q2/Q4,17,,
Int J Ap Mat Com-Pol,International Journal of Applied Mathematics and Computer Science,Q3/Q4,59,波兰,季刊
Math Phys Anal Geom,Mathematical Physics Analysis and Geometry,Q2/Q3,27,荷兰,季刊
Int J Inf Secur,International Journal of Information Security,Q2/Q3/Q4,34,德国,双月刊
Mendeleev Commun,Mendeleev Communications,Q3,201,俄国,双月刊
J Environ Inform,Journal of Environmental Informatics,Q1,24,加拿大,季刊
J Econ Soc Hist Orie,Journal of the Economic and Social History of the Orient,Q4,28,,
Int J Soc Robot,International Journal of Social Robotics,Q3,51,荷兰,
Rev Int Med Cienc Ac,Revista Internacional de Medicina Y Ciencias de la Actividad Fisica Y Del Deporte,Q4,48,西班牙,季刊
Atmos Pollut Res,Atmospheric Pollution Research,Q2,210,土耳其,
Appl Compos Mater,Applied Composite Materials,Q2,82,英国,双月刊
J Pers Soc Psychol,Journal of Personality and Social Psychology,Q1,111,,
J Eng Technol Manage,Journal of Engineering and Technology Management,Q3,22,荷兰,季刊
Hous Theory Soc,Housing Theory & Society,Q2/Q3,18,,
Appl Ecol Env Res,Applied Ecology and Environmental Research,Q4,1043,匈牙利,年刊
Multilingua,Multilingua-Journal of Cross-Cultural and Interlanguage Communication,Q3,32,,
Learn Memory,Learning & Memory,Q3,55,美国,月刊
Russ J Electrochem+,Russian Journal of Electrochemistry,Q4,126,俄国,月刊
Free Radical Bio Med,Free Radical Biology and Medicine,Q1,473,美国,双月刊
Quantum Topol,Quantum Topology,Q2/Q4,11,,
Circ Linguist Apl Co,Circulo de Linguistica Aplicada A la Comunicacion,Q4,66,西班牙,
Int J Auto Tech-Kor,International Journal of Automotive Technology,Q3/Q4,130,韩国,双月刊
Food Biosci,Food Bioscience,Q2,114,,
Stem Cell Transl Med,Stem Cells Translational Medicine,Q1,125,美国,
BMC Cardiovasc Disor,BMC Cardiovascular Disorders,Q3,316,英国,不定期
Target-Neth,Target-International Journal of Translation Studies,Q3,19,,
Justice Q,Justice Quarterly,Q1,45,,
Psychoanal Inq,Psychoanalytic Inquiry,Q3,59,,
J Strain Anal Eng,Journal of Strain Analysis for Engineering Design,Q2/Q3,36,英国,双月刊
Geochim Cosmochim Ac,Geochimica et Cosmochimica Acta,Q1,481,美国,双月刊
Endocr Rev,Endocrine Reviews,Q1,55,美国,双月刊
IET Power Electron,IET Power Electronics,Q2,420,英国,双月刊
Ther Adv Respir Dis,Therapeutic Advances in Respiratory Disease,Q2,60,英国,
Plant Protect Sci,Plant Protection Science,Q3,34,捷克共和国,
Appl Anal Discr Math,Applicable Analysis and Discrete Mathematics,Q1/Q2,50,塞尔维亚,
J Cheminformatics,Journal of Cheminformatics,Q1,72,英国,
Rural Hist,Rural History-Economy Society Culture,Q3,13,,
Curr Microbiol,Current Microbiology,Q4,196,美国,月刊
Ochr Sr,Ochrona Srodowiska,Q4,8,波兰,季刊
Transport Res Rec,Transportation Research Record,Q4,828,美国,不定期
J Child Adol Psychop,Journal of Child and Adolescent Psychopharmacology,Q2/Q3,73,美国,季刊
Ultramicroscopy,Ultramicroscopy,Q2,195,荷兰,月刊
Lancet Glob Health,Lancet Global Health,Q1,120,英国,
Egit Bilim,Egitim Ve Bilim-Education and Science,Q4,80,,
J Parkinson Dis,Journal of Parkinsons Disease,Q1,81,荷兰,
Biol Membrany,Biologicheskie Membrany,Q4,43,俄国,双月刊
J Maps,Journal of Maps,Q2/Q3,102,英国,不定期
ESAIM-Probab Stat,ESAIM-Probability and Statistics,Q4,36,法国,
J Nutr Sci Vitaminol,Journal of Nutritional Science and Vitaminology,Q4,74,日本,双月刊
J Chemotherapy,Journal of Chemotherapy,Q4,45,意大利,双月刊
J Prof Iss Eng Ed Pr,Journal of Professional Issues in Engineering Education and Practice,Q3/Q4,31,美国,季刊
DNA Cell Biol,DNA and Cell Biology,Q2/Q3,147,UNITED STATES,月刊
Econtent,Econtent,Q4,7,,
Interciencia,Interciencia,Q4,89,委内瑞拉,双月刊
Psychol Serv,Psychological Services,Q2,77,,
J Behav Health Ser R,Journal of Behavioral Health Services & Research,Q3/Q4,48,美国,
Aquacult Int,Aquaculture International,Q3,129,荷兰,双月刊
Differ Geom Appl,Differential Geometry and Its Applications,Q3/Q4,77,NETHERLANDS,双月刊
Conserv Lett,Conservation Letters,Q1,58,英国,
J Comp Ger Linguist,Journal of Comparative Germanic Linguistics,Q3,8,,
Appl Anal,Applicable Analysis,Q3,161,英国,月刊
Parasitology,Parasitology,Q2,206,英国,月刊
Balt J Econ,Baltic Journal of Economics,Q3,14,,
Interdiscipl Sci Rev,Interdisciplinary Science Reviews,Q4,25,英国,季刊
Cereal Res Commun,Cereal Research Communications,Q3,65,匈牙利,季刊
Issues Law Med,Issues in Law & Medicine,Q4,12,,
J Vib Eng Technol,Journal of Vibration Engineering & Technologies,Q4,60,印度,
Noise Health,Noise & Health,Q4,6,英国,
Ann Comb,Annals of Combinatorics,Q4,62,瑞士,季刊
