Journal,IF(2021)
Biomedical Optics Express,3.562
EAR AND HEARING,3.562
International Journal of Mechanics and Materials in Design,3.561
OPTICS LETTERS,3.56
CIRP Journal of Manufacturing Science and Technology,3.56
JOURNAL OF ORAL REHABILITATION,3.558
Journal of Applied Meteorology and Climatology,3.557
Proceedings of the VLDB Endowment,3.557
DRYING TECHNOLOGY,3.556
ACS Earth and Space Chemistry,3.556
JOURNAL OF NUCLEAR MATERIALS,3.555
Journal of Financial Stability,3.554
Future Microbiology,3.553
IEEE COMMUNICATIONS LETTERS,3.553
RESOURCE AND ENERGY ECONOMICS,3.553
Food Science & Nutrition,3.553
Adipocyte,3.553
International Journal of Climate Change Strategies and Management,3.551
Integrating Materials and Manufacturing Innovation,3.551
Health Information and Libraries Journal,3.55
DNA AND CELL BIOLOGY,3.55
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,3.549
CHEMOTHERAPY,3.549
UNIVERSITY OF PENNSYLVANIA LAW REVIEW,3.548
PALAEONTOLOGY,3.547
HEALTH POLICY AND PLANNING,3.547
JOURNAL OF WORLD PREHISTORY,3.545
Journal of Systematics and Evolution,3.544
Frontiers in Neuroanatomy,3.543
G3-Genes Genomes Genetics,3.542
Diabetes & Vascular Disease Research,3.541
ChemMedChem,3.54
JOURNAL OF ORAL PATHOLOGY & MEDICINE,3.539
JOURNAL OF BANKING & FINANCE,3.539
FISHERIES,3.539
Latin American Economic Review,3.538
FRESHWATER BIOLOGY,3.538
NEUROMUSCULAR DISORDERS,3.538
PSYCHIATRISCHE PRAXIS,3.537
SURGICAL CLINICS OF NORTH AMERICA,3.537
JOURNAL OF SOILS AND SEDIMENTS,3.536
GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,3.535
Porcine Health Management,3.535
NONLINEAR PROCESSES IN GEOPHYSICS,3.534
DIFFERENTIATION,3.533
SHOCK,3.533
Neurocritical Care,3.532
Analytical Methods,3.532
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,3.532
Venture Capital,3.531
INTERNATIONAL JOURNAL OF REMOTE SENSING,3.531
Advances in Child Development and Behavior,3.531
POLYMER COMPOSITES,3.531
JOURNAL OF ETHNIC AND MIGRATION STUDIES,3.53
Water,3.53
CLINICS IN GERIATRIC MEDICINE,3.529
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,3.528
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,3.528
Seminars in Oncology Nursing,3.527
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,3.526
HUMAN PATHOLOGY,3.526
JOURNAL OF PUBLIC HEALTH POLICY,3.526
DENTOMAXILLOFACIAL RADIOLOGY,3.525
IEEE Transactions on Green Communications and Networking,3.525
Journal of Surgical Education,3.524
Journal of Racial and Ethnic Health Disparities,3.524
Current Vascular Pharmacology,3.524
CLINICAL ENDOCRINOLOGY,3.523
Micromachines,3.523
PHOTOCHEMISTRY AND PHOTOBIOLOGY,3.521
Carbon Management,3.52
CHEMPHYSCHEM,3.52
IRRIGATION SCIENCE,3.519
International Journal of Environmental Science and Technology,3.519
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,3.519
Journal of Inorganic and Organometallic Polymers and Materials,3.518
JOURNAL OF VIRAL HEPATITIS,3.517
TSINGHUA SCIENCE AND TECHNOLOGY,3.515
Race Ethnicity and Education,3.514
JOURNAL OF SYSTEMS AND SOFTWARE,3.514
AGING & MENTAL HEALTH,3.514
VIROLOGY,3.513
CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,3.512
ECOLOGICAL MODELLING,3.512
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,3.511
Environment and Planning B-Urban Analytics and City Science,3.511
CATALYSIS COMMUNICATIONS,3.51
JOURNAL OF ARCHAEOLOGICAL SCIENCE,3.508
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,3.508
Journal of Personalized Medicine,3.508
GOVERNMENT AND OPPOSITION,3.508
Journal of Natural Fibers,3.507
JOURNAL OF SHOULDER AND ELBOW SURGERY,3.507
Strategic Organization,3.506
JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,3.506
International Journal of Agricultural Sustainability,3.506
PSYCHIATRIC QUARTERLY,3.504
MICROPROCESSORS AND MICROSYSTEMS,3.503
HEALTH COMMUNICATION,3.501
World Journal of Psychiatry,3.5
JOURNAL OF CAREER ASSESSMENT,3.5
Publications Mathematiques de l IHES,3.5
EUROPEAN FOOD RESEARCH AND TECHNOLOGY,3.498
Food Analytical Methods,3.498
Trends in Hearing,3.496
ENERGY JOURNAL,3.494
Frontiers in Neurorobotics,3.493
Channels,3.493
HORMONES AND BEHAVIOR,3.492
Behavioral Sleep Medicine,3.492
Interdisciplinary Sciences-Computational Life Sciences,3.492
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,3.492
IEEE MULTIMEDIA,3.491
Youth Violence and Juvenile Justice,3.491
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,3.491
Geoscience Data Journal,3.488
Peer-to-Peer Networking and Applications,3.488
Cardiology Journal,3.487
JCO Oncology Practice,3.487
DIGESTIVE DISEASES AND SCIENCES,3.487
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,3.486
Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry,3.485
MOLECULAR IMAGING AND BIOLOGY,3.484
BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,3.483
SUPERCONDUCTOR SCIENCE & TECHNOLOGY,3.482
JOURNAL OF FLUIDS AND STRUCTURES,3.482
Patient-Patient Centered Outcomes Research,3.481
EFSA Journal,3.48
OBESITY SURGERY,3.479
Educational Assessment Evaluation and Accountability,3.479
INTERNATIONAL ORTHOPAEDICS,3.479
IEEE Access,3.476
Marketing Theory,3.476
JOURNAL OF BACTERIOLOGY,3.476
ENVIRONMENTAL TECHNOLOGY,3.475
Journal of Global Information Management,3.474
Cognitive Neurodynamics,3.473
Frontiers in Human Neuroscience,3.473
Frontiers in Veterinary Science,3.471
EUROPEAN JOURNAL OF PROTISTOLOGY,3.471
BOUNDARY-LAYER METEOROLOGY,3.471
JOURNAL OF BEHAVIORAL MEDICINE,3.47
RSC Medicinal Chemistry,3.47
MALARIA JOURNAL,3.469
IEEE Transactions on Terahertz Science and Technology,3.468
International Journal of Social Research Methodology,3.468
JOURNAL OF DERMATOLOGY,3.468
PATIENT EDUCATION AND COUNSELING,3.467
PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,3.467
JOURNAL OF NEUROSURGERY-SPINE,3.467
JOURNAL OF PHYSICAL CHEMISTRY B,3.466
Journal of Exercise Science & Fitness,3.465
DISEASE MARKERS,3.464
International Journal of Mental Health Systems,3.463
ANNALS OF PHARMACOTHERAPY,3.463
Journal of Infrastructure Systems,3.462
Journal of Outdoor Recreation and Tourism-Research Planning and Management,3.462
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,3.462
Electronic Commerce Research,3.462
BIOORGANIC & MEDICINAL CHEMISTRY,3.461
CHEMBIOCHEM,3.461
Journal of Taibah University for Science,3.459
DEVELOPMENT AND CHANGE,3.458
NEPHRON,3.457
JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,3.457
CLINICAL TRANSPLANTATION,3.456
JOURNAL OF THERMAL STRESSES,3.456
STRESS AND HEALTH,3.454
JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,3.454
CLINICAL JOURNAL OF SPORT MEDICINE,3.454
SIGNAL PROCESSING-IMAGE COMMUNICATION,3.453
SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,3.453
WORLDS POULTRY SCIENCE JOURNAL,3.452
METALS AND MATERIALS INTERNATIONAL,3.451
Fractional Calculus and Applied Analysis,3.451
Geocarto International,3.45
International Journal of Laboratory Hematology,3.45
EUROPEAN CYTOKINE NETWORK,3.45
Waste and Biomass Valorization,3.449
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,3.448
Applied Research in Quality of Life,3.447
JOURNAL OF CLUSTER SCIENCE,3.447
Journal of Benefit-Cost Analysis,3.447
TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,3.445
Social Psychology,3.444
Journal of Global Information Technology Management,3.444
JOURNAL OF NONLINEAR SCIENCE,3.443
Leukos,3.441
JOURNAL OF MECHANICAL DESIGN,3.441
QUALITY OF LIFE RESEARCH,3.44
Journal of Aerosol Medicine and Pulmonary Drug Delivery,3.44
Practical Radiation Oncology,3.439
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,3.439
Expert Review of Medical Devices,3.439
Journal of Immunotoxicology,3.439
Rhizosphere,3.437
BMC EVOLUTIONARY BIOLOGY,3.436
BIOPROCESS AND BIOSYSTEMS ENGINEERING,3.434
YALE JOURNAL OF BIOLOGY AND MEDICINE,3.434
EJNMMI Research,3.434
Journal of Environmental Health Science and Engineering,3.433
APPLIED VEGETATION SCIENCE,3.431
JOURNALISM & MASS COMMUNICATION QUARTERLY,3.431
Nurse Education in Practice,3.43
PHARMACOLOGY,3.429
INFORMATICA,3.429
PHOTOSYNTHESIS RESEARCH,3.429
APMIS,3.428
INORGANIC CHEMISTRY COMMUNICATIONS,3.428
AERA Open,3.427
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,3.427
MARKETING LETTERS,3.426
Asia Pacific Journal of Human Resources,3.426
IISE Transactions,3.425
JOURNAL OF ANTIBIOTICS,3.424
NEUROPSYCHOLOGY,3.424
INSECT MOLECULAR BIOLOGY,3.424
CLINICAL JOURNAL OF PAIN,3.423
Molecular Medicine Reports,3.423
MOLECULAR PLANT-MICROBE INTERACTIONS,3.422
International Journal of Emerging Markets,3.422
REPRODUCTIVE TOXICOLOGY,3.421
SOCIOLOGY OF RELIGION,3.421
DIGESTIVE DISEASES,3.421
International Journal of Computer Assisted Radiology and Surgery,3.421
DEVELOPMENTAL NEUROSCIENCE,3.421
JOURNAL OF COGNITIVE NEUROSCIENCE,3.42
Journal of Contingencies and Crisis Management,3.42
Advances in Production Engineering & Management,3.419
Journal of Science Education and Technology,3.419
Hormones-International Journal of Endocrinology and Metabolism,3.419
WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY,3.418
Journal of Cloud Computing-Advances Systems and Applications,3.418
Neurodegenerative Diseases,3.417
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,3.416
SEIZURE-EUROPEAN JOURNAL OF EPILEPSY,3.414
Pediatric Rheumatology,3.413
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,3.412
TESOL QUARTERLY,3.41
Transportmetrica B-Transport Dynamics,3.41
NEOPLASMA,3.409
JOURNAL OF PHYSICS D-APPLIED PHYSICS,3.409
PEDIATRIC DIABETES,3.409
THEORETICAL AND APPLIED CLIMATOLOGY,3.409
Global Health-Science and Practice,3.409
Agriculture-Basel,3.408
CURRENT DRUG METABOLISM,3.408
JOURNAL OF LEARNING DISABILITIES,3.407
Materials Science and Engineering B-Advanced Functional Solid-State Materials,3.407
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,3.407
ENGINEERING IN LIFE SCIENCES,3.405
Brain and Behavior,3.405
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,3.405
World Journal of Gastrointestinal Oncology,3.404
Journal of Ethnobiology and Ethnomedicine,3.404
JOURNAL OF APPLIED PHYCOLOGY,3.404
Medical Anthropology,3.403
JOURNAL OF THE WORLD AQUACULTURE SOCIETY,3.402
WOUND REPAIR AND REGENERATION,3.401
INTELLIGENT AUTOMATION AND SOFT COMPUTING,3.401
Language Teaching Research,3.401
Orthopaedic Journal of Sports Medicine,3.401
International Review of Economics & Finance,3.399
INTERNATIONAL JOURNAL OF WILDLAND FIRE,3.398
Bayesian Analysis,3.396
JOURNAL OF GAMBLING STUDIES,3.396
Journal of the Chinese Medical Association,3.396
Minerva Anestesiologica,3.396
Cancer Genomics & Proteomics,3.395
WATER INTERNATIONAL,3.395
INTEGRATIVE AND COMPARATIVE BIOLOGY,3.392
FINANCIAL MANAGEMENT,3.391
Georisk-Assessment and Management of Risk for Engineered Systems and Geohazards,3.39
Journal of Biophotonics,3.39
JOURNAL OF VEGETATION SCIENCE,3.389
CLINICAL RADIOLOGY,3.389
Environmental Communication-A Journal of Nature and Culture,3.389
INTERNATIONAL JOURNAL OF FOOD PROPERTIES,3.388
Annals of Hepatology,3.388
Geriatrics & Gerontology International,3.387
Frontiers in Computational Neuroscience,3.387
BIOTECHNOLOGY AND BIOPROCESS ENGINEERING,3.386
MEDICAL SCIENCE MONITOR,3.386
Aquaculture Reports,3.385
Journal of Bridge Engineering,3.385
INTERNATIONAL NURSING REVIEW,3.384
Nature and Science of Sleep,3.384
GEOGRAPHICAL JOURNAL,3.384
JOURNAL OF REINFORCED PLASTICS AND COMPOSITES,3.383
Scandinavian Journal of Management,3.383
Operations Research Perspectives,3.382
MECHATRONICS,3.379
THERMOCHIMICA ACTA,3.378
BIOMETALS,3.378
RSF-The Russell Sage Journal of the Social Sciences,3.377
Neurospine,3.374
Journal of Tissue Viability,3.374
JOURNAL OF ASIAN EARTH SCIENCES,3.374
WEATHER AND FORECASTING,3.374
Allergy Asthma and Clinical Immunology,3.373
FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,3.373
PREVENTIVE VETERINARY MEDICINE,3.372
RADIATION RESEARCH,3.372
Journal of Environmental Planning and Management,3.371
Cadernos de Saude Publica,3.371
SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,3.371
Molecular Pain,3.37
Journal of Responsible Innovation,3.37
EXPERIMENTAL THERMAL AND FLUID SCIENCE,3.37
Plant Direct,3.369
PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,3.369
INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,3.369
BMC ECOLOGY,3.368
Cardiovascular Therapeutics,3.368
Chemistry Education Research and Practice,3.367
JOURNAL OF PERSONALITY DISORDERS,3.367
THERAPIE,3.367
JOURNAL OF STRUCTURAL GEOLOGY,3.366
Journal of Digestive Diseases,3.366
JOURNAL OF APPLIED SPORT PSYCHOLOGY,3.365
MOLECULAR DIVERSITY,3.364
JMIR Serious Games,3.364
JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY,3.364
JOURNAL OF ECONOMETRICS,3.363
EARTH PLANETS AND SPACE,3.362
JOURNAL OF ATMOSPHERIC CHEMISTRY,3.36
Plant Diversity,3.359
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,3.359
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE,3.359
Current Opinion in Critical Care,3.359
SUPPORTIVE CARE IN CANCER,3.359
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,3.358
PSYCHOLOGY & HEALTH,3.358
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,3.357
ISRAEL JOURNAL OF CHEMISTRY,3.357
JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,3.356
COGNITION AND INSTRUCTION,3.356
Global Public Health,3.356
Reproductive Health,3.355
Hepatobiliary & Pancreatic Diseases International,3.355
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,3.352
Processes,3.352
GEOPHYSICAL JOURNAL INTERNATIONAL,3.352
BEHAVIOURAL BRAIN RESEARCH,3.352
JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY,3.352
ACM Transactions on the Web,3.35
CIRCULATION JOURNAL,3.35
Women and Birth,3.349
Papers in Palaeontology,3.349
POLYMERS FOR ADVANCED TECHNOLOGIES,3.348
Research in Social & Administrative Pharmacy,3.348
NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,3.348
NEUROSURGERY CLINICS OF NORTH AMERICA,3.348
BLOOD PURIFICATION,3.348
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,3.346
Diagnostic and Interventional Radiology,3.346
Journal of Studies on Alcohol and Drugs,3.346
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,3.346
Separations,3.344
NURSING ETHICS,3.344
CONNECTIVE TISSUE RESEARCH,3.342
Frontiers in Neural Circuits,3.342
SLAS Discovery,3.341
Clinical and Experimental Otorhinolaryngology,3.34
STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,3.34
Food Biophysics,3.34
Clinical & Translational Oncology,3.34
Democratization,3.339
JOURNAL OF ANIMAL SCIENCE,3.338
Journal of Civil Structural Health Monitoring,3.338
MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,3.338
Gender in Management,3.337
EPILEPSY & BEHAVIOR,3.337
JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,3.337
PLASMA CHEMISTRY AND PLASMA PROCESSING,3.337
Cellular and Molecular Bioengineering,3.337
TRANSFUSION,3.337
Magnetochemistry,3.336
INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,3.336
COMPLEMENTARY THERAPIES IN MEDICINE,3.335
MULTIBODY SYSTEM DYNAMICS,3.333
Brain Sciences,3.333
GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,3.331
SINGAPORE MEDICAL JOURNAL,3.331
Science and Medicine in Football,3.331
IMMUNOGENETICS,3.33
SEDIMENTARY GEOLOGY,3.329
BMC BIOTECHNOLOGY,3.329
DENTAL TRAUMATOLOGY,3.328
TRIBOLOGY LETTERS,3.327
INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,3.326
YEAST,3.325
School Mental Health,3.325
AMERICAN JOURNAL OF BOTANY,3.325
Buildings,3.324
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3.322
BIOCHEMISTRY,3.321
BEHAVIOUR & INFORMATION TECHNOLOGY,3.32
BMC Pulmonary Medicine,3.32
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,3.319
JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,3.318
HEALTH EXPECTATIONS,3.318
JOURNAL OF COMPUTER INFORMATION SYSTEMS,3.317
Journal of Commodity Markets,3.317
PSYCHOLOGY PUBLIC POLICY AND LAW,3.317
NURSING OUTLOOK,3.315
PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,3.315
ANIMAL FEED SCIENCE AND TECHNOLOGY,3.313
SEMINARS IN PERINATOLOGY,3.311
DISASTERS,3.311
PHYSICS AND CHEMISTRY OF THE EARTH,3.311
MENOPAUSE-THE JOURNAL OF THE NORTH AMERICAN MENOPAUSE SOCIETY,3.31
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,3.31
Transactions on Emerging Telecommunications Technologies,3.31
CURRENT PHARMACEUTICAL DESIGN,3.31
OUTLOOK ON AGRICULTURE,3.309
PATHOLOGY RESEARCH AND PRACTICE,3.309
JOURNAL OF EXPERIMENTAL BIOLOGY,3.308
BMC BIOINFORMATICS,3.307
Breast Cancer,3.307
ENVIRONMENTAL MONITORING AND ASSESSMENT,3.307
WATER ENVIRONMENT RESEARCH,3.306
Comparative Biochemistry and Physiology D-Genomics & Proteomics,3.306
Personality and Mental Health,3.304
BIOLOGY OF THE CELL,3.303
JOURNAL OF FAMILY PSYCHOLOGY,3.302
Annals of General Psychiatry,3.301
ORGANIZATION,3.301
IEEE Transactions on Signal and Information Processing over Networks,3.301
Chinese Journal of International Politics,3.3
Frontiers in Zoology,3.3
ACTA PHARMACEUTICA,3.299
ANGIOLOGY,3.299
BMC Medical Informatics and Decision Making,3.298
OECOLOGIA,3.298
INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY,3.298
MATERIALS TECHNOLOGY,3.297
MOLECULAR BREEDING,3.297
POLICY AND POLITICS,3.297
Cancer Prevention Research,3.296
INTERNATIONAL JOURNAL OF MANPOWER,3.295
International Journal of Bio-Inspired Computation,3.295
Research in Autism Spectrum Disorders,3.293
OCEAN MODELLING,3.293
PFG-Journal of Photogrammetry Remote Sensing and Geoinformation Science,3.292
COASTAL ENGINEERING JOURNAL,3.289
JOURNAL OF PSYCHOACTIVE DRUGS,3.289
npj Primary Care Respiratory Medicine,3.289
CANCER CHEMOTHERAPY AND PHARMACOLOGY,3.288
BRITISH JOURNAL OF CRIMINOLOGY,3.288
INFORMS JOURNAL ON COMPUTING,3.288
JOURNAL OF THE GEOLOGICAL SOCIETY,3.288
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,3.288
Italian Journal of Pediatrics,3.288
JOURNAL OF ENGINEERING EDUCATION,3.288
CLINICAL CARDIOLOGY,3.287
PLACENTA,3.287
INTERNATIONAL REVIEW OF PSYCHIATRY,3.287
MOLECULAR AND CELLULAR PROBES,3.285
CONTINUUM MECHANICS AND THERMODYNAMICS,3.285
American Journal of Cardiovascular Drugs,3.283
Forests,3.282
ACTA GEOLOGICA SINICA-ENGLISH EDITION,3.282
Wiley Interdisciplinary Reviews-Computational Statistics,3.282
PULMONARY PHARMACOLOGY & THERAPEUTICS,3.282
WORLD JOURNAL OF SURGERY,3.282
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,3.282
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,3.282
Journal of Research on Technology in Education,3.281
Nanomaterials and Nanotechnology,3.28
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,3.28
SECURITY DIALOGUE,3.279
NEURAL COMPUTATION,3.278
Transportmetrica A-Transport Science,3.277
JOURNAL OF POLITICS,3.277
JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,3.277
Physica Status Solidi-Rapid Research Letters,3.277
BRITISH JOURNAL OF SOCIOLOGY,3.277
European Journal of Population-Revue Europeenne de Demographie,3.276
Journal of the Association for Information Science and Technology,3.275
COGNITIVE AND BEHAVIORAL PRACTICE,3.274
AQUACULTURAL ENGINEERING,3.273
Tissue Engineering Part C-Methods,3.273
Beilstein Journal of Nanotechnology,3.272
EXPERIMENTAL HEAT TRANSFER,3.272
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,3.271
TERRA NOVA,3.271
International Journal of Industrial Engineering Computations,3.271
JOURNAL OF ANIMAL BREEDING AND GENETICS,3.271
European Geriatric Medicine,3.269
JOURNAL OF CHEMICAL THERMODYNAMICS,3.269
BULLETIN OF INDONESIAN ECONOMIC STUDIES,3.269
FOOD AND AGRICULTURAL IMMUNOLOGY,3.268
JOURNAL OF GASTROINTESTINAL SURGERY,3.267
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,3.267
Australian Critical Care,3.265
Critical Public Health,3.265
Topics in Cognitive Science,3.265
Journal of Flow Chemistry,3.264
BMC NEUROSCIENCE,3.264
GEOPHYSICS,3.264
International Journal of Paediatric Dentistry,3.264
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,3.263
BMC Medical Education,3.263
BMC Endocrine Disorders,3.263
JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,3.262
EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,3.261
International Journal of Sediment Research,3.259
Biomicrofluidics,3.258
Brazilian Journal of Infectious Diseases,3.257
Mass Communication and Society,3.256
THEORY AND RESEARCH IN SOCIAL EDUCATION,3.256
JOURNAL OF REFRACTIVE SURGERY,3.255
GENERAL AND COMPARATIVE ENDOCRINOLOGY,3.255
Cell Adhesion & Migration,3.255
HEALTH POLICY,3.255
AUTONOMOUS ROBOTS,3.255
PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,3.254
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,3.254
World Journal of Surgical Oncology,3.253
Current Opinion in Allergy and Clinical Immunology,3.253
Television & New Media,3.252
Conservation Physiology,3.252
Energies,3.252
COMPUTER SPEECH AND LANGUAGE,3.252
Frontiers of Structural and Civil Engineering,3.252
Quaternary Geochronology,3.252
Life-Basel,3.251
Particuology,3.251
ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,3.25
REMEDIAL AND SPECIAL EDUCATION,3.25
Molecular Imaging,3.25
EXPERIMENTAL HEMATOLOGY,3.249
Diabetes Metabolic Syndrome and Obesity-Targets and Therapy,3.249
INTERNATIONAL JOURNAL OF BIOLOGICAL MARKERS,3.248
CYTOMETRY PART B-CLINICAL CYTOMETRY,3.248
MEDIA CULTURE & SOCIETY,3.248
Political Studies Review,3.248
Utilities Policy,3.247
Progress in Orthodontics,3.247
HUMAN & EXPERIMENTAL TOXICOLOGY,3.247
AMERICAN JOURNAL OF MANAGED CARE,3.247
Biomed Research International,3.246
VETERINARY MICROBIOLOGY,3.246
PHARMACOGENOMICS JOURNAL,3.245
TURKISH JOURNAL OF BIOLOGY,3.245
Synthetic Biology,3.244
Motivation Science,3.243
PANCREAS,3.243
PARASITOLOGY,3.243
PRENATAL DIAGNOSIS,3.242
PLANT GROWTH REGULATION,3.242
Information and Inference-A Journal of the IMA,3.241
SPINE,3.241
JOURNAL OF BIOCHEMISTRY,3.241
Journal of Chemistry,3.241
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,3.24
Pacific-Basin Finance Journal,3.239
Environmental Research Communications,3.237
Coatings,3.236
EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,3.236
CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,3.235
JOURNAL OF INVESTIGATIVE MEDICINE,3.235
JOURNAL OF STRUCTURAL BIOLOGY,3.234
Drug Testing and Analysis,3.234
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,3.234
JOURNAL OF CREATIVE BEHAVIOR,3.233
EUROPEAN JOURNAL OF SOIL BIOLOGY,3.232
FOOD SCIENCE AND BIOTECHNOLOGY,3.231
Animals,3.231
JOURNAL OF DERMATOLOGICAL TREATMENT,3.23
International Political Sociology,3.229
JOURNAL OF CULTURAL HERITAGE,3.229
ESTUARINE COASTAL AND SHELF SCIENCE,3.229
International Journal of Environmental Research,3.229
AUSTRALIAN JOURNAL OF MANAGEMENT,3.229
JMIR Medical Informatics,3.228
PERSONNEL REVIEW,3.228
Journal of Psychosomatic Obstetrics & Gynecology,3.228
CURRENT ANTHROPOLOGY,3.226
CANADIAN JOURNAL OF MICROBIOLOGY,3.226
Perspectives on Behavior Science,3.226
THEORY AND SOCIETY,3.226
Journal of Perinatology,3.225
British Food Journal,3.224
MAMMALIAN GENOME,3.224
Brain Imaging and Behavior,3.224
Thoracic Cancer,3.223
Discovery Medicine,3.222
ACTA TROPICA,3.222
RENAL FAILURE,3.222
Sociology of Race and Ethnicity,3.221
JOURNAL OF NEUROIMMUNOLOGY,3.221
Food & Nutrition Research,3.221
IEEE TRANSACTIONS ON ELECTRON DEVICES,3.221
Endocrine Connections,3.221
International Journal of Polymeric Materials and Polymeric Biomaterials,3.221
SUPERLATTICES AND MICROSTRUCTURES,3.22
JOURNAL OF ANALYTICAL TOXICOLOGY,3.22
JOURNAL OF DIABETES AND ITS COMPLICATIONS,3.219
BMJ Sexual & Reproductive Health,3.219
PSYCHOTHERAPY,3.218
Global Heart,3.218
COMPUTERS & MATHEMATICS WITH APPLICATIONS,3.218
CURRENT OPINION IN HEMATOLOGY,3.218
